"","Em_innitials","Endosperm","SC_endothelium","SC_epidermis","SC_hillum_parenchyma","SC_hillum_vasculature","SC_inner_integument","SC_parenchyma","SC_phloem"
"Legume.fam3.00691_Glyma.15G169500",0,0,0,0,0,0,0,0,1
"Legume.fam3.00691_Glyma.13G104000",0,0,0,0,0,0,0,1,0
"Legume.fam3.00691_Glyma.17G055100",0,0,1,0,0,0,0,0,0
"Legume.fam3.00699_Glyma.05G070200",1,0,0,0,0,0,0,1,0
"Legume.fam3.00699_Glyma.17G152800",1,0,0,0,0,0,0,1,0
"Legume.fam3.00699_Glyma.11G041300",0,0,0,1,0,0,0,0,0
"Legume.fam3.00699_Glyma.01G200800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00702_Glyma.13G312500",0,0,1,0,0,0,0,0,0
"Legume.fam3.00702_Glyma.12G189300",0,0,1,0,0,0,1,0,0
"Legume.fam3.00702_Glyma.11G177001",0,0,0,0,0,1,0,0,1
"Legume.fam3.00702_Glyma.12G095200",0,0,0,0,0,0,0,0,1
"Legume.fam3.00705_Glyma.15G043800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00705_Glyma.13G330200",0,0,1,1,0,0,1,0,0
"Legume.fam3.00705_Glyma.11G147944",0,1,0,0,0,0,0,0,0
"Legume.fam3.00705_Glyma.12G074000",0,1,0,0,0,0,0,0,0
"Legume.fam3.00720_Glyma.18G273500",0,0,0,1,0,0,0,0,0
"Legume.fam3.00720_Glyma.08G250700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00720_Glyma.19G034500",0,0,1,0,0,0,1,0,0
"Legume.fam3.00720_Glyma.13G052700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00726_Glyma.03G209100",0,0,0,1,1,0,0,0,0
"Legume.fam3.00726_Glyma.19G206300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00726_Glyma.10G021600",0,1,0,0,0,0,0,0,0
"Legume.fam3.00726_Glyma.02G152600",0,1,0,0,0,0,0,0,0
"Legume.fam3.00735_Glyma.17G102800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00735_Glyma.05G024500",0,0,0,0,0,0,1,0,0
"Legume.fam3.00735_Glyma.06G196800",0,0,0,0,0,0,0,0,1
"Legume.fam3.00735_Glyma.04G165700",0,1,0,0,0,0,0,0,0
"Legume.fam3.00744_Glyma.06G138100",0,0,0,0,0,0,1,0,0
"Legume.fam3.00744_Glyma.04G226700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00744_Glyma.14G189300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00744_Glyma.02G222300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00745_Glyma.18G028700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00745_Glyma.11G228400",0,0,0,0,0,0,0,0,0
"Legume.fam3.00745_Glyma.02G256600",0,1,0,0,0,0,0,0,0
"Legume.fam3.00745_Glyma.14G060100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00759_Glyma.18G155100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00759_Glyma.08G345400",0,1,0,0,0,0,0,0,1
"Legume.fam3.00759_Glyma.16G084300",0,1,0,0,0,0,0,0,0
"Legume.fam3.00759_Glyma.03G088900",0,1,0,0,0,0,0,0,0
"Legume.fam3.00761_Glyma.17G092300",0,0,0,0,1,0,0,0,0
"Legume.fam3.00761_Glyma.05G035000",1,0,0,0,0,0,0,0,1
"Legume.fam3.00761_Glyma.04G180000",0,0,0,1,0,0,0,0,0
"Legume.fam3.00761_Glyma.06G184800",0,0,0,1,0,0,0,0,0
"Legume.fam3.00765_Glyma.08G001200",0,0,0,0,0,0,1,0,0
"Legume.fam3.00765_Glyma.05G193200",0,0,0,0,0,0,0,0,0
"Legume.fam3.00765_Glyma.06G154800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00765_Glyma.04G211300",0,0,0,1,0,0,0,0,0
"Legume.fam3.00766_Glyma.13G100200",0,0,0,0,0,0,0,0,0
"Legume.fam3.00766_Glyma.17G059700",0,0,0,0,0,0,1,0,0
"Legume.fam3.00766_Glyma.15G165500",0,0,0,0,0,0,1,0,0
"Legume.fam3.00766_Glyma.09G059200",0,0,0,0,0,0,0,0,0
"Legume.fam3.00769_Glyma.15G145200",0,1,0,0,0,0,0,0,0
"Legume.fam3.00769_Glyma.09G040000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00769_Glyma.07G243300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00769_Glyma.17G030600",0,0,0,0,0,0,0,0,0
"Legume.fam3.00781_Glyma.05G177500",0,0,0,0,0,0,0,0,0
"Legume.fam3.00781_Glyma.08G134600",0,1,0,0,0,0,0,0,0
"Legume.fam3.00781_Glyma.18G016400",0,0,0,0,0,0,0,0,0
"Legume.fam3.00781_Glyma.11G240900",0,0,0,0,0,0,0,0,1
"Legume.fam3.00783_Glyma.05G191700",0,0,0,0,0,0,1,0,0
"Legume.fam3.00783_Glyma.08G156900",0,0,0,0,0,0,0,0,0
"Legume.fam3.00783_Glyma.04G213000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00783_Glyma.06G153200",0,0,1,0,0,0,1,0,0
"Legume.fam3.00799_Glyma.16G173700",0,0,0,0,0,0,0,0,1
"Legume.fam3.00799_Glyma.09G127000",0,0,0,0,0,0,1,0,1
"Legume.fam3.00799_Glyma.20G163900",0,0,0,0,0,0,0,1,0
"Legume.fam3.00799_Glyma.10G229400",0,0,0,0,0,0,0,1,0
"Legume.fam3.00805_Glyma.10G052000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00805_Glyma.13G139400",0,0,0,0,0,0,0,0,0
"Legume.fam3.00805_Glyma.03G180500",0,1,0,0,0,0,0,0,0
"Legume.fam3.00805_Glyma.19G181100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00807_Glyma.19G188600",0,0,0,0,0,0,0,0,0
"Legume.fam3.00807_Glyma.03G188400",0,0,0,0,0,0,0,0,0
"Legume.fam3.00807_Glyma.13G148100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00807_Glyma.10G063600",0,1,0,0,0,0,0,0,1
"Legume.fam3.00811_Glyma.02G013402",0,0,0,0,0,0,0,0,0
