RNA_hp1:Dividing_cell	RNA_hp1:Endodermis	RNA_hp1:Epidermis	RNA_hp1:Inner_cortex	RNA_hp1:Outer_cortex	RNA_hp1:Pericycle	RNA_hp1:Phloem	RNA_hp1:Pith	RNA_hp1:Procambium	RNA_hp1:Trichome	RNA_hp1:Unknown	RNA_hp1:Vascular_parenchyma	RNA_hp1:Xylem	RNA_hp2:Dividing_cell	RNA_hp2:Endodermis	RNA_hp2:Epidermis	RNA_hp2:Inner_cortex	RNA_hp2:Outer_cortex	RNA_hp2:Pericycle	RNA_hp2:Phloem	RNA_hp2:Pith	RNA_hp2:Procambium	RNA_hp2:Trichome	RNA_hp2:Unknown	RNA_hp2:Vascular_parenchyma	RNA_hp2:Xylem
Glyma.01G167200	10	1	2	0	7	3	1	5	3	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.01G167300	21	9	8	14	54	11	17	43	56	23	7	34	3	46	19	20	14	50	13	19	54	50	17	9	54	8
Glyma.01G167500	15	5	15	5	40	4	10	30	18	19	7	25	2	11	8	34	11	73	5	15	37	23	17	7	42	7
Glyma.01G167600	6	1	4	9	32	5	4	20	26	7	2	8	3	6	1	8	8	42	1	3	13	24	6	4	15	2
Glyma.01G167900	7	1	1	1	11	2	2	11	60	2	1	6	66	4	0	2	0	7	2	0	6	47	2	1	6	56
Glyma.01G168000	16	9	7	19	55	8	13	34	33	21	13	39	6	15	14	24	17	71	9	16	46	50	21	11	37	6
Glyma.01G168200	10	42	21	3	12	2	6	8	50	9	1	13	7	5	34	21	7	14	2	2	3	55	2	2	38	6
Glyma.01G168500	24	17	32	29	109	28	15	82	62	26	8	63	12	24	17	47	18	123	35	18	67	60	42	6	57	10
Glyma.01G168600	25	25	40	38	139	33	40	146	105	76	7	109	27	25	28	45	30	195	26	61	168	106	60	13	129	35
Glyma.01G168900	34	34	55	25	199	32	39	206	96	119	10	151	13	35	26	75	44	223	35	43	251	113	122	14	257	11
Glyma.01G169000	37	67	77	101	435	75	52	416	118	278	26	302	15	55	95	150	164	704	102	78	556	191	434	49	458	10
Glyma.01G169100	25	24	29	27	93	16	19	94	55	117	14	74	5	27	37	26	22	145	22	40	123	77	133	12	95	9
Glyma.01G169700	9	13	10	5	42	8	26	36	26	27	1	25	10	10	9	11	7	56	10	14	42	25	27	5	27	2
Glyma.01G169800	9	3	4	5	24	2	6	27	12	10	0	17	2	3	1	8	4	36	4	11	22	19	16	2	15	10
Glyma.01G170100	4	2	4	3	18	2	4	14	14	22	1	7	0	7	5	4	4	19	3	7	17	15	15	0	16	0
Glyma.01G170200	38	5	11	13	35	11	10	61	53	9	5	48	3	44	4	11	16	37	9	9	86	66	10	4	51	5
Glyma.01G170300	5	4	31	4	15	1	48	16	9	5	7	19	3	4	4	60	7	22	6	194	19	19	26	9	28	5
Glyma.01G170400	4	2	3	6	21	3	6	12	14	10	2	14	1	9	5	14	7	30	3	6	24	14	12	7	25	4
Glyma.01G170600	38	21	40	30	135	30	34	109	73	82	7	104	11	31	23	56	52	196	21	53	116	91	76	10	121	7
Glyma.01G170900	9	2	5	6	28	12	5	20	13	25	1	25	1	5	7	5	1	30	3	7	18	18	33	3	27	3
Glyma.01G171000	15	27	12	23	87	18	8	40	17	69	6	53	1	11	11	16	16	95	19	13	58	31	106	6	53	2
Glyma.01G171400	5	5	7	42	11	28	7	31	16	11	4	60	2	2	16	2	40	21	25	14	15	33	6	2	53	2
Glyma.01G171800	2	10	10	3	54	10	8	67	30	34	12	64	2	9	23	14	29	122	13	15	84	48	50	20	99	4
Glyma.01G171900	14	11	54	13	244	12	18	29	155	8	7	92	2	23	6	70	20	256	9	40	43	226	11	7	91	8
Glyma.01G172000	0	2	1	4	11	1	3	5	4	18	0	5	2	6	4	2	1	8	2	4	8	11	10	0	2	1
Glyma.01G172200	87	4	10	11	45	13	63	114	83	8	22	277	1	106	7	13	16	45	16	65	90	91	10	44	288	4
Glyma.01G172300	9	1	5	2	20	2	4	15	8	11	2	16	2	3	6	4	8	21	0	5	9	15	7	4	15	6
Glyma.01G172400	16	22	18	31	91	17	34	101	66	61	25	69	54	31	19	33	31	126	13	45	115	88	71	51	115	41
Glyma.01G172600	9	6	12	10	64	6	19	41	31	223	5	36	1	11	8	10	11	46	12	9	31	11	267	6	26	6
Glyma.01G173050	2	6	7	8	25	17	23	40	27	8	2	31	12	6	11	5	5	34	9	25	40	22	10	19	31	16
Glyma.01G173300	6	11	9	9	74	8	6	40	10	30	6	40	3	6	10	15	16	74	10	6	54	25	33	6	31	5
Glyma.01G173400	3	4	2	4	17	3	2	12	8	29	1	17	1	6	9	9	5	33	7	8	20	13	45	6	34	1
Glyma.01G173700	13	5	10	14	88	10	34	50	74	17	3	61	16	21	8	33	11	95	9	19	57	63	12	2	51	13
Glyma.01G174000	11	1	2	2	6	3	5	3	15	7	0	2	0	11	2	2	2	5	1	3	4	17	6	0	4	0
Glyma.01G174700	5	6	6	10	33	5	8	17	22	5	1	26	1	9	4	6	10	38	3	9	27	20	5	3	24	2
Glyma.01G174900	8	6	11	16	40	4	13	40	31	25	3	33	2	13	10	10	11	49	5	15	42	24	15	6	38	1
Glyma.01G175100	54	23	29	43	143	38	46	94	111	39	7	108	14	72	35	35	45	140	35	48	115	128	66	17	119	19
Glyma.01G175300	31	4	5	7	32	10	4	10	31	18	1	24	0	44	3	1	8	29	5	3	20	31	12	1	20	1
Glyma.01G175400	3	3	3	3	22	3	1	15	22	13	1	15	0	8	4	10	3	26	5	6	17	14	18	1	18	3
Glyma.01G175500	14	1	6	4	6	4	28	72	152	4	0	57	2	25	3	2	1	15	2	29	84	184	3	10	53	6
Glyma.01G175600	28	38	19	29	139	38	64	155	94	57	14	138	12	37	33	47	40	127	30	73	172	126	68	22	169	24
Glyma.01G175800	1	0	3	4	7	1	3	14	7	14	1	4	0	1	3	2	1	12	1	5	10	2	16	1	6	2
Glyma.01G175900	18	16	11	51	138	11	23	110	66	55	9	110	14	24	33	25	37	178	22	23	114	77	68	12	112	13
Glyma.01G176000	16	18	13	29	113	19	19	84	65	64	12	59	11	18	16	19	16	126	15	15	83	60	62	8	86	11
Glyma.01G176200	1	1	1	5	13	1	1	13	7	9	2	12	0	7	5	2	18	29	2	2	24	15	7	7	23	1
Glyma.01G176300	3	1	2	11	26	0	2	16	15	6	4	10	4	0	1	2	10	41	3	4	20	34	8	3	15	13
Glyma.01G176400	25	3	1	8	7	5	9	22	37	17	1	16	5	29	7	5	6	12	6	8	15	50	12	3	23	3
Glyma.01G176600	17	7	43	40	300	21	37	296	153	47	14	109	52	28	8	68	23	383	24	38	284	183	55	27	141	44
Glyma.01G176700	3	0	3	4	18	4	4	22	22	6	1	14	7	6	2	6	5	37	3	5	26	19	7	4	30	12
Glyma.01G176800	26	11	17	12	66	10	9	50	32	24	6	32	6	20	18	20	18	96	7	18	44	37	41	18	34	6
Glyma.01G177300	5	5	2	3	11	4	9	14	11	11	0	9	1	4	5	9	3	26	1	2	10	18	11	1	13	2
Glyma.01G177400	3	4	13	1	57	2	3	39	10	11	1	15	77	3	4	25	2	65	7	2	25	16	26	3	25	67
Glyma.01G177600	3	1	1	3	9	3	3	9	4	1	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.01G177700	50	75	123	207	1124	101	91	538	299	314	36	472	28	63	95	189	288	1394	107	72	654	309	408	87	579	48
Glyma.01G178000	16	23	43	37	201	23	34	124	62	50	6	85	7	25	45	55	47	253	17	45	157	81	79	15	120	11
Glyma.01G178100	6	2	5	5	13	4	2	10	11	12	0	10	0	5	8	11	2	17	0	4	14	10	14	4	13	0
Glyma.01G178200	19	15	10	18	102	15	24	87	49	41	10	51	11	30	13	33	19	138	14	41	74	68	39	21	76	13
Glyma.01G178400	2	2	3	1	8	3	1	9	6	10	1	5	3	5	2	2	1	15	0	3	9	11	9	0	10	1
Glyma.01G178500	101	91	286	496	2905	134	490	1661	327	575	48	1099	106	151	145	641	546	3806	173	740	1791	476	694	101	1452	111
Glyma.01G178600	7	14	4	14	29	4	15	18	30	21	2	21	4	8	6	9	8	45	5	12	19	16	19	6	19	10
Glyma.01G179300	32	9	16	61	190	13	16	91	101	33	7	71	15	56	22	12	50	189	3	18	106	110	27	16	96	27
Glyma.01G179400	2	1	9	1	54	4	8	148	11	5	3	14	4	8	7	13	4	58	7	8	181	10	10	0	15	1
Glyma.01G179800	11	11	28	25	127	19	8	116	71	48	5	71	31	22	22	34	40	176	15	11	105	62	79	21	84	38
Glyma.01G179900	2	1	11	1	6	2	4	5	11	11	4	7	63	3	2	12	6	10	0	1	6	8	8	5	15	58
Glyma.01G180000	14	6	8	14	71	0	10	91	78	5	5	47	2	18	6	7	23	91	4	13	101	82	15	18	65	4
Glyma.01G180100	30	25	21	40	99	17	16	67	81	18	4	73	15	43	21	25	24	94	14	32	93	91	41	12	76	9
Glyma.01G180200	5	27	0	6	10	2	8	16	13	4	0	3	1	4	27	2	10	12	5	3	23	11	3	0	9	0
Glyma.01G180432	3	0	2	1	12	3	0	6	6	19	1	6	1	6	0	7	1	23	5	2	13	9	15	0	8	1
Glyma.01G180500	5	6	6	20	65	6	12	61	20	22	4	38	2	18	7	17	30	137	4	5	76	38	16	4	37	5
Glyma.01G180700	1	0	12	12	85	2	5	30	8	13	0	21	2	4	3	15	7	93	3	3	45	9	37	3	18	0
Glyma.01G180800	11	4	13	17	90	11	20	52	40	19	12	61	9	16	4	19	20	108	5	25	49	37	29	2	64	11
Glyma.01G181200	4	7	17	9	47	3	11	24	38	15	4	41	4	17	12	15	15	60	5	9	27	38	22	7	43	5
Glyma.01G181500	22	5	3	5	33	5	8	18	23	15	2	19	1	20	2	14	14	38	6	7	30	23	19	2	29	4
Glyma.01G182000	22	9	11	7	69	15	41	78	73	19	9	61	3	28	21	12	20	69	22	58	60	107	23	13	105	10
Glyma.01G182300	14	5	6	4	18	0	8	10	19	4	1	7	2	18	2	7	4	17	3	12	15	30	7	1	13	1
Glyma.01G182400	10	15	46	16	94	6	16	109	19	227	4	58	3	20	29	90	16	155	11	18	127	24	291	2	83	4
Glyma.01G182500	10	8	15	16	75	7	3	52	15	17	5	21	5	7	8	21	11	109	4	12	64	27	14	6	34	9
Glyma.01G182600	3	0	1	1	5	0	1	6	3	8	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.01G182700	4	0	19	25	190	6	27	75	26	22	0	73	1	5	4	47	33	255	0	31	96	31	35	9	111	6
Glyma.01G183000	8	1	1	5	5	3	8	18	25	3	1	50	2	8	3	2	2	13	8	13	16	43	2	3	48	0
Glyma.01G183100	134	48	145	177	938	38	121	415	493	69	38	549	36	184	48	234	246	1223	63	122	638	576	105	31	863	62
Glyma.01G183200	8	5	58	93	600	8	20	150	50	22	5	85	3	9	1	94	111	625	9	16	163	52	32	10	129	2
Glyma.01G183300	54	74	107	88	361	50	99	271	191	189	41	327	63	42	67	130	136	455	57	120	359	243	174	57	483	47
Glyma.01G183400	16	69	22	45	155	43	19	120	77	230	12	93	7	14	62	16	30	183	48	18	130	62	295	21	90	20
Glyma.01G183500	18	18	37	33	113	19	29	70	55	50	9	65	12	27	21	32	35	127	22	45	87	76	71	4	100	12
Glyma.01G183600	17	8	19	12	83	5	42	68	38	17	6	55	3	12	13	18	16	72	7	47	49	51	29	9	61	8
Glyma.01G183700	0	0	2	0	47	1	8	46	7	7	0	11	0	5	2	6	1	52	0	14	35	14	9	2	10	1
Glyma.01G183800	13	1	3	5	22	9	8	24	20	9	1	11	2	15	4	3	3	29	3	17	27	17	20	1	20	3
Glyma.01G184300	6	4	4	5	13	2	6	18	41	1	3	12	35	6	3	7	6	16	0	14	18	39	6	1	15	34
Glyma.01G184400	10	7	6	9	52	8	9	27	18	26	8	30	2	11	10	13	9	74	10	11	34	17	29	4	31	4
Glyma.01G184500	3	0	1	3	2	1	3	1	40	3	1	3	3	5	2	0	1	5	0	2	0	57	1	0	5	2
Glyma.01G184700	5	0	0	1	11	1	3	10	5	8	1	6	1	1	2	0	4	3	1	3	12	16	3	0	8	0
Glyma.01G185200	19	22	9	24	98	21	18	88	108	22	9	113	12	28	23	7	29	114	10	18	108	115	36	13	119	6
Glyma.01G185300	11	6	2	7	33	3	32	29	23	16	1	24	5	20	6	2	7	45	5	32	21	21	20	3	17	4
Glyma.01G185700	12	7	18	18	78	22	14	70	87	49	10	66	6	29	15	27	34	103	18	29	76	73	48	7	87	10
Glyma.01G185800	65	136	161	157	683	264	113	612	270	584	48	532	44	69	172	189	156	994	190	180	765	335	813	90	762	82
Glyma.01G185900	24	38	59	61	243	25	47	185	94	141	10	170	24	32	48	61	38	272	28	59	180	91	152	13	177	24
Glyma.01G186000	177	135	199	229	758	175	265	697	604	329	44	729	53	328	239	320	250	1047	211	363	754	765	409	108	869	90
Glyma.01G186100	4	2	1	5	32	2	15	27	9	10	6	12	4	15	3	2	6	38	4	17	24	9	10	2	13	5
Glyma.01G186202	3	1	0	4	25	3	1	13	3	11	3	7	0	0	1	0	2	36	2	1	15	9	14	4	7	0
Glyma.01G186300	2	1	2	10	45	1	2	21	3	4	0	7	0	2	1	2	11	48	0	0	12	4	5	5	6	0
Glyma.01G186400	27	24	28	33	124	18	26	71	65	51	8	82	12	33	19	36	41	128	14	32	98	71	46	16	74	4
Glyma.01G186600	24	29	59	7	60	17	13	35	16	28	1	23	2	22	16	135	4	92	14	13	43	20	29	3	24	5
Glyma.01G186800	14	2	15	10	44	4	18	36	51	17	5	49	3	21	5	30	15	72	8	12	50	63	15	14	58	6
Glyma.01G187200	8	0	1	0	11	1	2	16	8	1	0	8	6	9	1	4	0	18	1	6	22	6	3	0	11	10
Glyma.01G187300	14	2	9	9	73	6	14	62	36	28	3	47	8	22	2	10	17	76	9	14	51	35	12	2	60	6
Glyma.01G187400	168	2	10	8	38	41	29	80	197	32	6	89	8	233	9	11	4	54	18	25	87	216	21	2	127	8
Glyma.01G187700	1	1	2	3	3	1	1	6	4	6	0	9	17	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.01G187900	10	0	1	1	5	4	8	11	16	1	0	9	1	10	0	3	3	6	5	15	7	25	3	0	22	1
Glyma.01G188000	53	10	13	13	57	16	17	44	70	23	2	40	12	74	15	15	26	99	5	7	55	108	16	6	61	13
Glyma.01G188100	14	7	3	12	55	3	8	29	24	3	4	32	6	20	6	4	21	53	2	1	37	49	12	0	35	4
Glyma.01G188200	7	8	4	12	23	3	5	35	46	8	12	31	2	13	3	7	9	42	1	3	44	43	7	10	32	2
Glyma.01G188400	19	5	4	3	28	4	8	51	26	28	4	28	0	26	10	2	3	30	4	3	62	26	22	3	40	2
Glyma.01G188500	4	9	6	3	26	9	9	25	14	12	1	19	0	5	7	6	4	55	6	8	40	23	10	2	23	3
Glyma.01G188600	17	10	18	12	38	11	6	34	67	22	9	37	6	14	12	9	7	48	17	14	26	79	15	2	31	5
Glyma.01G188700	13	11	7	13	42	9	13	37	46	6	3	37	8	18	11	8	9	57	3	22	30	58	11	4	53	12
Glyma.01G188900	4	5	6	6	13	2	4	17	11	11	1	11	3	5	3	5	3	22	0	9	16	12	10	4	16	7
Glyma.01G189100	5	15	32	10	29	2	6	32	38	29	0	17	14	13	11	36	5	61	4	9	29	49	51	1	24	15
Glyma.01G189200	1	2	5	3	24	0	4	33	32	12	10	18	56	6	5	11	6	40	6	6	18	37	17	6	16	84
Glyma.01G189400	3	0	5	2	11	2	4	9	14	6	2	12	4	4	3	6	6	32	6	1	20	10	10	2	21	2
Glyma.01G189500	6	4	15	16	48	3	12	29	41	9	5	24	13	31	2	16	13	58	7	10	32	53	12	3	35	25
Glyma.01G189600	3	1	3	1	8	1	2	5	4	1	1	9	3	4	4	2	2	5	0	4	8	0	8	1	3	2
Glyma.01G190100	27	18	26	36	104	7	16	58	65	23	12	60	3	27	18	16	16	81	12	22	37	47	19	15	35	4
Glyma.01G190700	0	1	1	5	16	1	10	14	2	1	5	6	1	3	2	1	4	13	0	14	17	4	6	1	10	0
Glyma.01G190800	1	5	5	5	24	1	8	23	19	12	5	12	6	3	9	5	4	28	5	9	25	19	13	3	12	3
Glyma.01G190900	6	7	11	6	94	3	22	53	25	19	6	28	5	19	8	34	20	132	10	46	65	37	12	22	52	16
Glyma.01G191100	19	23	24	33	155	24	52	115	97	50	5	107	15	32	32	52	29	147	29	60	106	105	62	13	100	16
Glyma.01G191200	0	0	25	0	18	0	0	3	1	1	0	1	0	0	0	54	0	39	0	1	2	0	4	2	1	1
Glyma.01G191300	53	69	179	55	315	59	88	292	198	309	27	370	21	51	128	261	54	417	102	110	344	212	394	35	442	35
Glyma.01G191500	3	1	5	2	16	0	4	9	20	8	2	7	8	7	6	9	4	18	1	4	11	25	7	5	13	5
Glyma.01G191600	8	6	5	11	51	5	2	35	27	15	4	29	2	4	3	13	9	45	8	2	22	21	15	4	28	0
Glyma.01G191800	5	0	10	9	36	9	10	26	40	9	2	19	9	13	5	10	10	55	6	16	36	73	7	2	44	8
Glyma.01G191900	4	3	7	5	48	15	26	57	14	11	6	18	18	5	1	16	6	57	1	35	52	20	15	10	20	22
Glyma.01G192000	21	15	21	18	70	17	21	66	44	42	5	62	14	27	20	24	24	86	9	33	71	54	68	11	62	17
Glyma.01G192100	9	8	17	10	35	6	24	31	31	22	4	26	4	14	8	11	8	60	4	46	36	27	23	9	23	6
Glyma.01G192200	4	0	8	9	43	1	8	32	8	10	0	19	4	5	2	3	16	37	0	9	42	19	6	1	12	2
Glyma.01G192300	2	1	0	10	19	2	2	16	4	3	0	5	2	1	0	0	7	39	0	1	14	1	6	6	2	0
Glyma.01G192500	9	2	2	1	3	1	7	2	4	6	1	16	0	32	0	7	2	9	2	6	5	5	1	9	45	0
Glyma.01G192600	24	14	33	42	142	22	41	210	79	30	10	180	18	29	31	45	57	191	37	48	196	132	36	19	226	19
Glyma.01G193200	14	2	2	3	9	2	27	16	42	3	3	53	1	12	6	2	4	23	3	30	22	52	8	7	71	3
Glyma.01G193500	20	1	0	0	2	0	1	2	1	14	1	3	0	14	4	1	3	12	3	2	4	5	17	1	12	1
Glyma.01G193600	270	735	226	375	2023	620	422	1445	914	2187	146	1710	74	290	954	334	421	2157	674	625	1414	1013	2623	212	1652	122
Glyma.01G193700	16	20	13	17	119	11	23	70	65	48	5	64	9	20	29	22	24	133	18	34	97	63	79	15	66	4
Glyma.01G193800	8	2	2	11	21	5	8	17	21	18	1	24	2	31	7	12	3	29	8	9	21	19	20	6	18	3
Glyma.01G194100	14	8	11	12	66	10	10	35	50	17	7	46	7	17	14	11	10	56	16	18	56	54	18	7	58	5
Glyma.01G194200	8	4	0	1	3	4	6	4	17	4	1	12	0	7	6	3	4	3	1	10	4	10	3	0	7	0
Glyma.01G194300	4	1	2	1	13	1	0	5	3	3	0	8	6	0	2	2	1	5	0	1	10	10	0	2	2	7
Glyma.01G194500	4	6	6	6	30	6	11	13	13	13	3	12	2	11	3	10	7	34	7	5	18	18	17	2	21	6
Glyma.01G194600	22	11	10	20	70	13	17	43	39	24	7	52	12	9	11	13	12	64	18	15	61	55	23	3	60	12
Glyma.01G194700	30	3	3	7	39	3	15	83	71	10	7	67	2	57	6	10	2	51	3	21	103	54	31	6	92	3
Glyma.01G194800	11	6	9	5	14	3	10	23	24	6	2	23	2	3	4	9	5	30	10	14	27	33	17	2	38	3
Glyma.01G194900	3	3	1	3	26	2	6	32	14	10	11	11	1	6	5	2	4	37	2	8	35	18	8	6	9	2
Glyma.01G195000	2	1	4	2	11	0	3	9	3	1	0	10	0	2	0	2	0	13	0	4	17	4	2	0	12	2
Glyma.01G195200	1	2	1	4	11	0	2	8	8	0	1	4	0	3	1	6	2	11	0	1	5	7	3	1	10	0
Glyma.01G195400	21	9	29	18	109	9	15	85	54	31	9	64	18	13	11	36	29	160	8	20	101	53	27	12	78	21
Glyma.01G195500	1	6	3	8	93	21	6	61	6	57	0	34	0	5	6	4	20	137	15	6	93	9	32	3	40	2
Glyma.01G195900	34	0	2	2	7	0	19	6	46	1	0	73	0	31	1	1	1	2	4	15	12	62	2	1	65	0
Glyma.01G196000	18	1	6	1	30	5	13	19	61	16	5	33	4	15	7	9	4	40	3	16	18	46	14	6	39	7
Glyma.01G196300	9	2	2	5	25	3	4	23	16	6	3	23	7	8	3	8	3	44	1	6	27	19	17	2	14	6
Glyma.01G196800	4	4	365	11	464	5	5	27	22	16	1	26	3	6	8	544	9	675	9	8	42	16	16	6	40	11
Glyma.01G197100	2	4	5	5	25	2	6	8	6	11	3	19	2	6	3	6	6	32	6	4	12	11	17	4	13	1
Glyma.01G197500	0	5	6	3	21	0	10	8	25	9	2	8	8	3	4	4	5	21	1	8	8	16	7	2	18	5
Glyma.01G197600	2	1	3	3	2	0	5	6	13	2	0	5	2	4	5	0	4	9	3	9	7	11	1	0	8	1
Glyma.01G197800	7	3	3	5	17	2	2	12	11	5	1	14	4	10	3	1	11	29	4	2	14	21	4	2	17	5
Glyma.01G197900	2	48	47	7	25	2	4	16	33	150	0	13	3	7	82	77	7	34	10	12	26	60	159	0	35	4
Glyma.01G198200	0	4	2	7	44	3	2	34	5	44	3	29	0	9	6	3	21	87	5	2	50	4	35	6	7	3
Glyma.01G198500	14	5	18	22	130	8	12	94	28	22	3	59	3	17	4	16	29	188	17	16	80	48	22	8	87	7
Glyma.01G198600	1	5	2	5	34	7	3	15	26	7	5	12	4	1	8	10	3	38	1	1	23	24	13	6	17	5
Glyma.01G199000	4	3	8	7	34	6	2	24	12	24	2	16	0	2	2	14	4	40	1	3	21	12	31	2	16	2
Glyma.01G199100	12	12	8	10	39	8	4	18	26	20	5	22	5	9	7	10	9	38	7	13	27	22	20	5	26	4
Glyma.01G199600	13	7	19	10	88	15	14	47	32	48	11	46	2	20	16	10	13	96	21	6	47	36	62	10	43	12
Glyma.01G199700	0	2	11	15	57	1	2	24	15	13	3	22	2	8	9	7	12	81	4	3	22	16	12	3	28	4
Glyma.01G200000	14	8	12	5	73	10	6	45	50	49	8	45	10	8	6	22	23	71	10	11	70	54	40	8	48	16
Glyma.01G200200	5	17	6	17	79	8	5	17	17	48	4	27	7	1	20	8	9	85	13	3	25	24	50	6	34	11
Glyma.01G200466	28	13	30	42	220	20	24	244	27	130	6	106	6	27	10	45	34	221	26	20	246	57	135	2	100	4
Glyma.01G200532	30	13	25	37	234	28	22	277	38	148	2	92	2	40	16	35	45	240	29	12	274	40	151	7	141	4
Glyma.01G200700	9	7	3	6	32	6	12	32	21	15	3	12	1	10	7	3	18	37	6	8	41	28	17	6	29	2
Glyma.01G200800	23	1	15	26	57	11	18	156	137	6	2	154	28	36	4	5	26	85	19	25	226	148	15	12	321	26
Glyma.01G200900	5	4	4	7	19	1	4	19	15	21	3	13	1	7	5	2	2	32	4	8	39	15	18	2	23	2
Glyma.01G201000	4	2	4	6	19	0	1	18	15	2	3	12	2	8	3	9	7	24	0	3	22	8	7	2	14	3
Glyma.01G201100	3	2	2	3	11	2	2	12	7	4	4	8	1	7	0	6	2	13	2	7	3	13	15	3	9	1
Glyma.01G201400	12	3	5	3	20	5	2	15	25	13	1	14	2	7	5	5	10	25	4	7	24	32	7	7	25	0
Glyma.01G202000	9	10	10	13	116	36	18	64	30	62	6	49	4	13	16	11	20	140	26	16	84	38	110	9	48	9
Glyma.01G202150	9	2	2	1	6	6	0	6	14	3	2	5	1	6	6	2	1	8	5	0	8	11	16	2	11	0
Glyma.01G202500	21	12	19	36	115	16	32	66	54	43	15	66	12	31	19	26	33	122	11	28	82	51	59	9	63	10
Glyma.01G202600	41	37	31	43	203	29	35	156	104	83	17	129	16	43	42	57	43	236	43	45	155	116	98	17	122	13
Glyma.01G202800	13	10	5	11	51	3	4	41	34	15	9	29	4	12	5	10	9	67	9	9	44	41	19	5	35	3
Glyma.01G203000	29	13	22	38	172	10	23	104	95	44	14	103	13	37	22	37	41	196	15	32	134	131	56	12	106	12
Glyma.01G203100	9	28	34	42	322	21	38	158	52	105	6	81	24	10	20	60	37	365	14	32	156	50	113	7	97	28
Glyma.01G203200	33	9	21	18	60	5	6	25	32	37	5	24	11	24	29	31	17	65	9	10	24	33	61	8	27	5
Glyma.01G203300	7	11	18	45	121	3	5	93	38	27	3	28	9	3	14	27	38	119	8	9	117	38	35	1	27	7
Glyma.01G203400	41	17	184	203	866	27	33	425	193	42	7	332	17	50	24	316	180	978	16	28	325	202	45	14	312	32
Glyma.01G203500	26	21	36	30	103	19	16	85	63	330	10	107	9	16	20	67	33	161	23	27	102	75	380	11	169	6
Glyma.01G203600	10	1	6	8	27	5	10	14	20	9	4	11	1	17	1	10	11	24	1	9	21	17	5	3	20	3
Glyma.01G203800	14	11	10	8	45	6	7	51	27	22	5	27	5	13	11	19	20	71	9	13	46	30	29	3	31	6
Glyma.01G204000	31	59	32	76	257	63	58	185	129	84	28	236	14	61	72	67	90	291	61	46	238	167	124	31	218	21
Glyma.01G204200	138	20	82	151	722	51	111	558	393	115	53	792	58	225	57	152	269	1162	88	188	1042	507	153	77	1239	77
Glyma.01G204300	20	10	5	5	42	11	11	60	47	31	3	42	2	10	19	14	8	79	10	10	82	39	32	4	53	7
Glyma.01G204400	106	280	287	374	1109	293	175	1107	402	665	97	1151	86	184	446	496	670	1989	416	247	1468	618	1086	203	1706	137
Glyma.01G204467	7	13	9	3	58	8	10	53	42	26	2	49	4	7	23	17	22	68	22	5	80	63	52	18	75	14
Glyma.01G204533	12	24	28	23	96	44	18	122	80	47	6	110	9	34	41	39	52	128	38	15	178	110	61	27	204	13
Glyma.01G204900	28	15	18	32	83	14	19	108	63	33	4	72	11	28	24	24	55	103	12	23	110	65	28	12	76	6
Glyma.01G205100	8	7	7	6	27	6	14	37	22	42	2	36	4	17	8	8	5	18	9	15	33	24	28	3	34	3
Glyma.01G205200	24	50	16	26	107	50	43	92	76	56	10	78	17	29	65	30	36	135	48	76	118	76	97	15	107	33
Glyma.01G205400	3	0	6	9	25	1	8	10	7	5	0	10	2	6	3	5	2	16	2	16	10	5	4	1	10	1
Glyma.01G205600	5	4	4	3	6	5	4	4	11	8	0	9	0	7	12	2	2	13	4	3	12	15	7	2	8	3
Glyma.01G205700	2	3	4	7	65	7	4	30	10	11	1	31	0	8	4	10	10	66	6	4	23	15	17	4	38	0
Glyma.01G205800	4	12	3	9	21	15	10	41	18	46	3	29	2	4	11	9	4	47	20	21	40	15	51	8	47	1
Glyma.01G205900	35	39	33	32	202	79	51	407	173	161	19	356	10	50	56	55	73	322	85	88	452	210	148	25	466	18
Glyma.01G206000	31	30	35	30	159	29	23	251	89	82	10	123	17	31	43	41	37	201	35	34	280	107	83	11	183	14
Glyma.01G206600	18	73	37	43	151	69	17	172	96	72	12	131	17	34	114	54	43	161	62	35	165	131	108	8	180	12
Glyma.01G206700	7	35	14	12	60	14	6	55	18	24	4	29	6	4	43	19	18	101	44	5	51	36	39	2	37	12
Glyma.01G207200	4	1	8	6	41	4	8	39	20	14	5	17	17	7	6	9	4	51	8	6	25	32	14	8	45	21
Glyma.01G207300	49	19	59	28	192	19	39	163	213	21	22	272	3	79	27	106	31	261	19	42	261	281	35	32	370	11
Glyma.01G207400	22	15	10	20	68	11	14	46	45	21	7	41	4	20	20	19	24	91	10	10	66	40	33	9	69	2
Glyma.01G207500	20	18	14	18	87	22	24	174	86	29	12	133	10	20	25	27	36	124	28	34	263	105	39	14	234	12
Glyma.01G207700	45	17	12	22	80	15	35	60	88	52	14	71	3	94	24	25	35	108	22	31	90	125	45	10	95	18
Glyma.01G207800	19	13	11	12	81	10	24	57	28	33	3	57	2	22	10	18	12	95	11	21	69	42	27	13	64	4
Glyma.01G207950	0	4	10	1	51	0	3	123	12	15	2	19	22	1	4	29	2	80	1	4	140	11	17	3	29	15
