RNA_hp1:Dividing_cell	RNA_hp1:Endodermis	RNA_hp1:Epidermis	RNA_hp1:Inner_cortex	RNA_hp1:Outer_cortex	RNA_hp1:Pericycle	RNA_hp1:Phloem	RNA_hp1:Pith	RNA_hp1:Procambium	RNA_hp1:Trichome	RNA_hp1:Unknown	RNA_hp1:Vascular_parenchyma	RNA_hp1:Xylem	RNA_hp2:Dividing_cell	RNA_hp2:Endodermis	RNA_hp2:Epidermis	RNA_hp2:Inner_cortex	RNA_hp2:Outer_cortex	RNA_hp2:Pericycle	RNA_hp2:Phloem	RNA_hp2:Pith	RNA_hp2:Procambium	RNA_hp2:Trichome	RNA_hp2:Unknown	RNA_hp2:Vascular_parenchyma	RNA_hp2:Xylem
Glyma.01G008000	10	0	6	9	14	4	2	16	20	2	2	22	4	9	8	8	11	36	4	6	25	16	10	4	21	3
Glyma.01G008400	6	18	17	15	69	29	18	29	39	17	4	42	10	8	24	9	16	60	13	14	31	36	18	5	42	9
Glyma.01G008500	76	67	217	164	998	67	98	349	247	247	31	562	22	89	67	341	177	1449	72	96	366	323	346	63	519	41
Glyma.01G008600	25	24	58	35	175	9	33	105	73	14	11	92	9	27	15	62	29	160	16	32	88	62	27	10	75	11
Glyma.01G008700	2	3	0	1	5	5	4	8	13	6	2	19	1	5	5	4	0	12	7	11	4	19	18	0	14	3
Glyma.01G008800	15	0	1	4	21	8	5	17	26	6	2	18	1	16	8	11	9	28	8	14	28	34	4	6	19	6
Glyma.01G008900	20	12	10	33	84	12	32	75	84	32	12	66	22	30	19	18	8	95	12	38	70	108	31	13	72	22
Glyma.01G009200	14	3	8	4	20	17	11	27	103	6	0	68	7	13	0	4	2	17	7	12	25	96	9	2	65	3
Glyma.01G009300	42	17	9	18	42	7	8	38	81	30	7	63	3	64	19	20	29	70	7	8	54	91	19	6	73	21
Glyma.01G009400	13	12	18	24	113	10	44	70	94	27	9	63	33	5	25	31	21	103	11	36	53	122	27	22	62	34
Glyma.01G009600	16	8	5	4	29	3	3	17	37	27	0	14	1	19	3	1	10	33	6	7	10	33	23	5	7	3
Glyma.01G009700	59	6	5	8	33	4	17	25	113	9	8	56	3	91	8	6	10	17	14	22	25	134	8	2	94	13
Glyma.01G009800	10	0	0	5	16	0	1	3	15	1	0	8	3	6	6	3	1	11	2	1	5	12	5	2	6	2
Glyma.01G009900	4	2	1	2	27	1	2	26	4	14	3	12	1	5	3	2	8	38	3	1	19	12	11	2	6	1
Glyma.01G010100	3	4	2	13	37	1	6	28	20	10	6	25	0	7	8	3	10	24	7	8	25	29	3	3	12	1
Glyma.01G010200	12	0	9	12	47	5	3	19	21	15	7	30	4	5	7	9	8	45	5	2	27	13	10	6	25	3
Glyma.01G010300	76	48	36	73	232	53	77	244	195	54	17	271	78	116	59	54	107	277	50	115	299	275	70	32	333	133
Glyma.01G010400	22	13	13	6	29	9	15	16	41	34	1	33	1	27	12	9	11	31	11	5	34	58	37	7	40	1
Glyma.01G010500	8	13	21	16	58	13	15	64	15	90	2	28	4	6	33	50	20	95	15	17	86	16	86	3	51	4
Glyma.01G010600	7	1	4	7	15	4	10	11	15	7	3	13	4	7	1	7	4	25	3	12	10	22	8	6	27	3
Glyma.01G010800	44	26	20	40	124	16	20	114	45	47	9	73	8	50	52	34	53	167	20	24	136	82	71	19	111	4
Glyma.01G010900	7	7	13	25	97	10	18	59	22	37	1	51	6	14	22	28	23	128	11	29	70	35	39	10	54	10
Glyma.01G011100	9	5	8	7	29	6	5	34	25	16	2	21	8	15	14	11	11	49	4	10	40	31	14	2	34	5
Glyma.01G011200	22	10	24	33	111	20	25	88	64	69	13	87	9	31	17	57	23	132	17	20	87	94	84	10	97	7
Glyma.01G011300	3	4	9	2	22	1	5	23	8	3	0	12	2	8	2	5	9	27	1	5	12	5	3	0	11	0
Glyma.01G011700	0	2	1	3	15	1	1	15	4	5	2	10	2	6	4	3	7	17	3	3	9	11	13	2	4	0
Glyma.01G011900	5	20	14	159	339	13	14	22	18	31	17	102	3	17	30	34	203	476	7	8	43	18	22	23	130	5
Glyma.01G012000	0	1	0	23	36	0	0	5	1	1	0	0	1	2	7	5	30	75	2	1	7	2	4	0	6	0
Glyma.01G012100	17	22	9	660	181	12	11	36	41	10	3	60	3	19	28	28	674	233	11	16	31	29	21	11	67	4
Glyma.01G012300	5	5	9	5	37	5	5	9	17	22	1	18	4	11	6	22	9	44	5	9	27	21	29	1	21	1
Glyma.01G012400	3	1	3	1	4	3	3	5	4	4	0	6	1	3	3	8	2	11	3	3	6	4	7	3	6	0
Glyma.01G012500	57	41	55	55	213	36	59	167	107	90	10	134	14	51	39	78	62	275	26	51	137	107	91	17	149	15
Glyma.01G012700	21	9	24	27	138	13	14	74	85	31	5	56	4	49	17	41	38	184	11	28	82	121	38	9	76	13
Glyma.01G013600	14	13	14	16	71	9	12	49	34	38	4	29	10	23	16	20	21	67	18	5	57	65	32	7	38	12
Glyma.01G013800	9	1	2	5	15	1	8	14	18	7	0	26	2	16	3	5	3	29	5	8	19	23	5	2	10	2
Glyma.01G013900	1	1	1	3	39	0	4	42	23	13	0	6	28	2	3	2	1	48	1	2	35	22	36	0	5	37
Glyma.01G014000	6	2	2	5	27	2	2	32	53	24	15	31	15	7	1	7	6	31	4	8	31	64	14	21	25	16
