RNA_en1:Cortex_Epidermis	RNA_en1:Endodermis	RNA_en1:Nodule_infected_cell	RNA_en1:Nodule_meritem	RNA_en1:Nodule_uninfected_cell	RNA_en1:Pericycle	RNA_en1:Phloem	RNA_en1:Procambium	RNA_en1:Xylem	RNA_en2:Cortex_Epidermis	RNA_en2:Endodermis	RNA_en2:Nodule_infected_cell	RNA_en2:Nodule_meritem	RNA_en2:Nodule_uninfected_cell	RNA_en2:Pericycle	RNA_en2:Phloem	RNA_en2:Procambium	RNA_en2:Xylem
Glyma.04G205400	806	10	34	20	27	56	26	116	5	658	2	20	12	24	29	4	88	8
Glyma.04G205700	86	1	11	0	6	5	2	11	1	65	1	10	3	10	1	1	10	1
Glyma.04G205800	316	5	29	10	37	18	9	86	6	269	4	25	7	26	18	4	76	3
Glyma.04G206100	28	0	7	8	4	2	1	3	1	20	0	12	10	2	0	0	1	0
Glyma.04G206300	195	3	25	6	21	6	7	30	10	163	1	23	2	14	1	0	30	11
Glyma.04G206400	220	3	126	9	20	15	9	33	4	182	1	99	3	29	8	2	25	3
Glyma.04G206500	30	0	23	0	2	2	0	13	0	24	1	16	0	8	1	0	5	0
Glyma.04G206600	152	3	15	1	13	8	3	31	1	107	1	17	6	8	7	2	28	3
Glyma.04G206700	53	4	10	0	7	4	4	5	14	61	2	2	0	1	1	0	8	15
Glyma.04G206900	83	2	15	7	13	3	2	13	0	69	0	4	2	13	0	2	17	1
Glyma.04G207200	30	0	8	7	16	3	1	2	0	40	1	5	4	8	1	0	2	0
Glyma.04G207300	84	0	15	1	16	4	1	11	0	54	2	4	0	10	2	0	7	0
Glyma.04G207700	157	3	3	8	21	11	2	10	4	94	1	7	5	23	2	0	9	12
Glyma.04G207900	162	1	9	4	19	6	3	27	1	117	1	13	2	15	3	1	34	2
Glyma.04G208300	767	7	57	12	130	40	10	199	10	666	9	38	10	98	40	15	141	13
Glyma.04G208450	275	3	18	17	67	12	5	18	1	235	8	14	4	69	1	1	19	0
Glyma.04G208600	94	3	15	0	11	9	4	15	1	76	1	12	1	10	0	0	12	1
Glyma.04G209000	179	0	34	12	21	9	7	25	2	174	2	31	7	20	7	2	26	2
Glyma.04G209100	61	1	8	3	8	7	5	14	1	54	0	2	0	6	3	1	23	1
Glyma.04G209200	49	1	4	3	10	6	1	7	0	51	0	2	0	10	1	1	4	1
Glyma.04G209400	286	4	43	10	39	17	5	45	4	276	6	27	3	39	16	3	32	5
Glyma.04G209600	61	2	2	2	1	4	2	17	3	54	1	2	2	2	6	0	15	1
Glyma.04G210000	70	1	11	4	7	8	3	17	0	58	0	9	6	12	1	1	16	0
Glyma.04G210100	59	0	13	5	10	5	2	12	0	53	1	18	0	11	2	1	8	0
Glyma.04G210200	260	5	27	12	33	11	5	57	3	231	4	21	5	26	4	4	34	4
Glyma.04G210500	134	0	8	6	19	9	2	21	1	90	0	4	6	15	2	8	27	1
Glyma.04G210700	186	0	46	5	44	4	4	28	1	151	0	49	3	31	3	3	22	1
Glyma.04G211000	560	6	47	14	56	37	12	82	2	487	14	33	12	60	21	1	60	5
Glyma.04G211300	469	1	59	16	40	56	12	47	9	400	4	47	8	26	43	6	44	9
Glyma.04G212100	1142	22	67	31	109	44	23	138	4	1020	20	31	15	63	28	9	111	14
Glyma.04G212600	109	1	16	3	12	9	6	24	1	62	0	10	1	11	0	2	8	2
Glyma.04G212800	33	0	5	1	2	5	1	5	0	0	0	0	0	0	0	0	0	0
Glyma.04G212900	259	6	34	8	32	20	10	58	3	229	1	33	12	41	21	1	50	4
Glyma.04G213000	56	3	14	2	10	5	1	6	3	66	1	6	5	12	5	1	10	4
Glyma.04G213300	214	4	31	4	24	12	3	36	0	166	4	21	7	22	6	2	43	1
Glyma.04G213400	350	2	55	13	36	16	11	54	3	283	3	37	8	41	8	3	50	4
Glyma.04G213700	214	6	21	8	26	9	4	34	3	222	1	20	10	29	6	4	33	4
Glyma.04G213800	68	2	19	4	16	4	1	12	0	50	2	17	3	15	1	2	10	1
Glyma.04G214200	239	2	23	11	31	17	9	33	3	191	1	39	4	25	4	2	38	0
Glyma.04G214500	62	4	10	4	8	11	1	9	0	44	2	7	0	6	2	0	6	0
Glyma.04G214600	22	0	4	1	6	2	0	9	2	0	0	0	0	0	0	0	0	0
Glyma.04G215300	48	2	6	1	12	2	6	10	0	48	1	5	1	7	0	1	10	2
Glyma.04G215400	308	2	46	6	34	14	1	35	1	252	1	23	5	18	5	0	26	1
Glyma.04G215500	582	5	48	15	41	47	20	198	44	430	3	19	4	20	25	11	142	39
Glyma.04G215800	36	0	2	0	4	6	3	20	8	24	0	2	0	5	2	0	14	5
Glyma.04G215900	440	5	62	24	52	31	20	70	17	368	3	50	9	54	9	1	42	14
Glyma.04G216000	91	3	8	4	10	7	5	21	0	75	2	8	2	16	4	1	18	1
Glyma.04G216100	210	2	12	5	7	8	3	18	2	178	0	5	0	8	2	0	9	0
Glyma.04G216300	102	1	13	7	7	4	3	17	2	100	0	14	2	14	1	0	14	1
Glyma.04G216400	48	0	9	0	9	0	0	10	0	52	0	10	0	3	2	2	8	0
Glyma.04G216700	383	4	35	7	32	18	4	55	4	347	4	23	4	18	20	6	49	2
Glyma.04G217100	85	0	21	8	15	2	2	11	3	61	0	12	4	8	4	3	13	2
Glyma.04G217200	87	0	13	4	11	7	3	15	0	59	0	9	0	13	4	1	14	0
Glyma.04G217300	84	1	9	2	11	4	2	15	1	60	1	8	1	4	1	0	8	1
Glyma.04G217500	184	1	31	5	24	9	9	23	3	147	1	29	4	17	3	2	19	1
Glyma.04G218200	146	2	6	2	13	8	4	27	0	145	4	9	4	18	9	0	21	0
Glyma.04G218300	139	2	13	9	19	8	5	16	1	97	0	18	3	13	3	1	8	0
Glyma.04G218400	26	1	1	2	1	24	5	10	1	20	2	4	2	2	19	0	16	1
Glyma.04G218500	27	0	4	1	5	2	0	3	1	0	0	0	0	0	0	0	0	0
Glyma.04G218800	50	1	6	3	4	2	3	13	0	39	0	6	1	3	0	0	6	0
Glyma.04G218900	147	1	6	3	7	6	5	21	0	108	1	9	2	6	5	1	15	2
Glyma.04G219000	110	2	13	0	11	9	3	26	1	109	2	2	2	10	6	3	25	0
Glyma.04G219100	196	2	16	7	23	10	1	22	3	129	3	18	3	14	5	0	22	1
Glyma.04G219200	384	6	50	11	73	24	12	94	3	291	8	41	4	55	8	6	66	2
Glyma.04G219400	33	0	5	1	6	1	0	1	2	26	1	3	0	4	1	0	8	2
Glyma.04G219500	127	1	25	4	21	12	3	10	1	96	0	18	1	21	2	0	23	2
Glyma.04G219632	268	4	28	8	47	16	8	62	1	260	3	28	4	43	7	3	53	4
Glyma.04G219700	178	4	11	4	24	7	1	33	3	159	1	12	2	18	4	2	30	1
Glyma.04G220000	196	2	23	6	21	16	6	35	0	202	7	16	5	34	7	2	35	0
Glyma.04G220100	102	0	32	9	16	3	5	27	1	79	1	31	4	17	7	1	12	0
Glyma.04G220200	233	9	21	4	53	9	9	40	3	230	2	23	7	39	8	4	40	2
Glyma.04G220400	80	0	19	6	12	2	4	21	0	67	0	22	0	16	1	2	8	0
Glyma.04G220900	29	0	1	0	5	1	1	7	0	0	0	0	0	0	0	0	0	0
Glyma.04G221200	144	1	21	7	12	46	3	31	4	126	2	16	6	16	33	1	32	2
Glyma.04G221300	362	6	32	12	27	24	13	50	4	231	1	30	5	36	13	2	47	5
Glyma.04G221400	377	6	45	20	27	34	9	49	1	292	2	40	8	38	7	4	50	4
Glyma.04G221600	190	3	16	15	28	16	9	71	4	161	5	7	4	38	10	2	63	4
Glyma.04G221900	235	2	35	13	38	11	3	39	3	174	1	30	4	36	3	6	31	1
Glyma.04G222000	107	2	9	1	14	10	2	9	0	83	1	17	0	21	6	0	10	3
Glyma.04G222100	135	5	35	7	24	10	6	17	1	88	1	37	6	29	3	0	6	4
Glyma.04G222200	34	0	4	2	9	1	2	10	0	0	0	0	0	0	0	0	0	0
Glyma.04G222400	162	1	12	8	10	13	4	15	0	131	1	3	1	5	8	2	7	2
Glyma.04G222600	199	1	18	7	20	9	4	47	3	146	0	19	2	19	4	4	25	1
Glyma.04G222800	211	1	24	35	33	5	6	34	0	206	1	15	16	17	3	1	20	3
Glyma.04G222900	131	0	18	8	16	4	0	15	1	121	2	18	3	17	4	1	21	1
Glyma.04G223100	29	1	2	1	2	1	0	8	0	0	0	0	0	0	0	0	0	0
Glyma.04G223400	188	3	36	1	19	16	4	16	4	171	2	14	6	20	6	1	28	2
Glyma.04G223500	221	2	34	10	28	7	9	36	2	207	3	31	5	22	5	1	34	1
Glyma.04G223600	61	1	15	4	8	1	4	11	0	34	0	9	1	12	2	0	14	1
Glyma.04G223700	166	2	67	2	11	23	1	17	2	124	1	61	1	8	15	0	15	3
Glyma.04G223900	61	1	6	3	5	5	2	19	0	60	0	8	1	9	1	3	8	1
Glyma.04G224000	336	1	48	15	25	26	5	66	5	247	6	42	6	33	7	3	24	6
Glyma.04G224200	251	2	32	10	21	15	5	40	7	195	2	15	6	18	7	1	34	8
Glyma.04G224300	184	4	20	2	17	19	9	91	2	131	0	12	1	22	18	0	80	2
Glyma.04G224400	68	3	8	5	6	5	0	11	2	66	1	9	1	10	3	0	13	1
Glyma.04G224900	374	4	70	29	68	22	9	81	5	281	4	42	8	54	9	7	55	2
Glyma.04G225000	174	4	39	14	29	10	5	41	0	152	2	35	7	31	4	0	30	1
Glyma.04G225100	61	0	7	2	5	2	2	11	2	33	0	6	4	6	0	0	6	0
Glyma.04G225600	284	1	32	11	37	15	4	48	4	226	1	21	2	25	9	6	34	2
Glyma.04G225700	271	1	24	15	38	14	4	21	0	230	4	33	4	38	13	1	28	2
Glyma.04G226400	239	6	26	9	18	10	9	28	3	200	0	14	4	27	12	1	29	0
Glyma.04G226500	214	0	43	15	17	13	7	23	0	174	0	29	6	23	6	2	28	2
Glyma.04G226700	118	3	15	3	20	6	3	39	7	120	1	10	3	22	3	1	42	0
Glyma.04G226900	381	1	54	19	24	40	13	57	2	300	4	32	7	45	12	3	45	2
Glyma.04G227100	159	5	26	6	32	11	6	24	3	126	2	20	3	14	2	0	21	1
Glyma.04G227300	175	1	21	10	14	10	4	42	1	145	1	22	4	17	8	1	29	0
Glyma.04G227400	398	6	52	14	51	37	15	89	3	283	3	38	6	45	7	4	40	6
Glyma.04G227500	18	1	7	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.04G227700	176	9	18	3	22	12	9	42	18	119	13	4	1	9	7	1	23	19
Glyma.04G227900	67	0	2	3	33	1	2	14	1	57	2	9	0	35	8	3	3	1
Glyma.04G228300	691	12	45	14	91	31	20	126	14	634	10	32	9	106	18	9	131	20
Glyma.04G228400	33	0	6	0	8	1	1	5	2	45	0	1	0	6	0	0	9	1
Glyma.04G228600	54	0	7	4	13	3	1	12	0	52	0	7	3	10	2	0	12	1
Glyma.04G228700	141	0	11	1	38	16	3	25	1	108	1	5	4	37	4	5	16	1
Glyma.04G228800	36	2	1	1	0	1	0	8	0	0	0	0	0	0	0	0	0	0
Glyma.04G229000	392	6	62	8	31	26	13	51	2	317	1	24	12	35	5	6	32	2
Glyma.04G229200	260	1	30	12	40	12	6	48	6	235	6	30	5	42	7	2	45	2
Glyma.04G229300	591	6	71	25	66	36	14	100	11	486	6	57	10	80	17	3	70	8
Glyma.04G229400	293	3	49	17	44	14	7	47	1	251	1	47	9	41	9	1	38	4
Glyma.04G229500	157	0	25	6	13	13	6	26	3	147	4	21	1	19	11	2	24	0
Glyma.04G229600	130	2	12	7	20	14	8	33	0	117	0	4	2	15	13	5	35	0
Glyma.04G229900	312	3	22	14	28	29	8	50	1	304	7	12	5	23	26	2	40	1
Glyma.04G230700	31	0	8	5	6	3	0	4	0	0	0	0	0	0	0	0	0	0
Glyma.04G230800	515	5	66	22	71	24	15	78	6	370	3	50	9	64	10	6	75	13
Glyma.04G231000	217	4	20	3	13	12	6	32	1	194	4	16	4	20	9	1	27	3
Glyma.04G231100	83	1	4	0	3	1	5	5	3	68	0	1	1	3	2	0	5	1
Glyma.04G231351	497	23	25	8	17	30	25	180	4	381	28	12	6	16	10	13	136	3
Glyma.04G231400	48	2	3	0	2	8	0	14	0	36	2	6	0	4	1	1	17	2
Glyma.04G231500	268	0	45	13	30	19	12	39	2	224	0	32	4	23	5	2	33	3
Glyma.04G231600	103	4	21	6	14	5	6	29	0	107	0	12	2	15	3	3	22	0
Glyma.04G231700	578	8	63	22	52	48	23	163	9	563	8	45	5	60	25	14	132	6
Glyma.04G231800	447	5	44	15	53	33	15	70	5	368	7	33	7	52	15	6	49	3
Glyma.04G231900	75	1	21	1	11	8	3	19	0	69	0	14	1	12	1	0	4	0
Glyma.04G232000	40	1	14	2	5	5	2	7	0	23	1	9	4	13	4	0	2	0
Glyma.04G232100	106	3	18	1	19	10	7	25	2	92	1	13	4	18	2	1	16	0
Glyma.04G232200	49	0	4	0	2	4	0	3	0	38	1	3	1	3	0	0	9	0
Glyma.04G232500	174	3	22	5	19	15	8	22	2	147	3	15	5	21	8	2	14	2
Glyma.04G232600	44	1	4	1	2	4	0	5	0	0	0	0	0	0	0	0	0	0
Glyma.04G232700	216	4	42	9	45	10	12	47	2	184	0	40	6	38	9	6	41	1
Glyma.04G232900	324	5	43	8	65	14	7	46	3	264	2	29	3	53	4	5	26	2
Glyma.04G233000	41	0	4	3	1	10	1	8	0	0	0	0	0	0	0	0	0	0
Glyma.04G233100	148	5	19	8	14	10	4	23	1	147	6	11	3	17	4	3	19	1
Glyma.04G233300	113	0	4	7	12	9	24	70	6	97	1	3	3	6	6	11	82	2
Glyma.04G233400	534	6	31	13	30	52	18	68	4	466	4	14	1	36	25	4	59	2
Glyma.04G233600	76	1	11	3	2	6	2	15	1	54	2	4	2	12	1	2	11	0
Glyma.04G233700	77	1	14	4	23	5	4	28	0	79	3	12	3	12	3	1	9	1
Glyma.04G234000	55	0	5	3	7	2	0	11	0	43	2	2	0	7	1	0	10	1
Glyma.04G234100	108	0	18	2	14	5	6	20	0	93	1	11	2	29	4	2	22	1
Glyma.04G234300	128	0	24	6	15	7	2	24	1	110	1	17	4	18	1	1	28	0
Glyma.04G234400	148	1	9	4	4	8	2	15	3	128	1	3	2	9	4	2	10	0
Glyma.04G234500	49	1	11	6	5	2	0	4	0	45	0	5	3	9	1	1	11	1
Glyma.04G234800	92	1	16	7	25	3	1	14	0	73	0	16	3	19	6	1	6	0
Glyma.04G234900	379	4	34	4	21	22	7	49	4	311	4	19	5	31	7	2	44	5
Glyma.04G235100	88	1	16	0	8	10	5	25	4	90	0	10	3	6	3	1	13	5
Glyma.04G235500	70	0	14	5	21	4	6	9	3	69	1	19	5	21	0	0	17	1
Glyma.04G235600	131	2	15	9	15	9	4	21	2	104	3	9	1	7	4	1	13	1
Glyma.04G235700	151	1	13	7	20	7	4	23	5	133	6	11	3	19	4	3	17	1
Glyma.04G235800	91	0	15	4	9	5	7	12	1	85	1	21	1	11	1	1	7	1
Glyma.04G235900	966	3	57	20	48	45	19	60	4	765	4	28	4	42	13	6	56	3
Glyma.04G236000	333	3	14	14	32	12	4	40	7	247	5	14	3	25	5	3	39	6
Glyma.04G236100	45	1	6	2	4	4	1	8	0	59	0	3	2	5	1	0	4	1
Glyma.04G236200	359	4	19	13	105	13	6	53	9	306	3	17	8	100	2	4	43	7
Glyma.04G236300	102	1	15	4	13	3	2	24	1	104	0	14	4	13	3	0	12	0
Glyma.04G236400	63	0	6	1	5	2	2	10	0	52	2	1	0	5	0	0	11	0
Glyma.04G236500	497	18	58	19	60	28	16	90	6	435	14	54	9	65	18	4	85	10
Glyma.04G236600	310	5	65	5	30	6	8	35	0	270	3	52	4	27	4	3	29	0
Glyma.04G236700	540	7	60	21	58	27	30	104	5	488	6	52	12	47	8	7	102	4
Glyma.04G236800	292	5	37	14	33	10	6	33	4	230	0	22	6	34	6	4	26	3
Glyma.04G236900	6522	34	459	239	827	449	189	1486	28	5859	39	208	98	791	189	61	1291	57
Glyma.04G237000	144	1	22	11	33	14	10	22	2	115	2	11	2	18	6	1	31	1
Glyma.04G237100	60	0	7	2	11	8	0	16	1	59	0	5	3	12	2	1	17	2
Glyma.04G237200	121	3	23	7	20	4	2	17	0	93	1	18	4	18	4	3	14	3
Glyma.04G237300	257	3	23	8	36	9	16	34	2	158	4	24	5	26	6	2	21	2
Glyma.04G237400	47	1	4	1	11	5	1	6	0	38	0	8	1	7	1	1	8	0
Glyma.04G237600	156	4	24	6	18	6	1	28	2	152	3	22	4	16	3	1	17	3
Glyma.04G238000	261	3	21	8	28	18	7	51	5	224	3	20	4	36	3	5	32	2
Glyma.04G238600	54	0	4	1	14	5	3	8	1	62	0	10	0	5	2	2	7	0
Glyma.04G238800	517	9	68	19	60	34	34	105	5	397	3	34	9	42	19	13	71	12
Glyma.04G238900	37	0	5	2	4	3	1	5	0	0	0	0	0	0	0	0	0	0
Glyma.04G239000	52	0	6	2	4	2	2	2	0	43	1	9	0	8	1	0	2	0
Glyma.04G239200	40	0	4	0	11	3	2	4	0	0	0	0	0	0	0	0	0	0
Glyma.04G239300	129	2	17	5	22	9	6	24	5	115	1	7	0	15	3	1	12	2
Glyma.04G239900	83	0	2	5	6	10	1	6	1	76	0	2	1	2	0	0	8	1
Glyma.04G240300	74	3	25	4	16	5	3	23	1	77	2	19	1	17	3	4	11	0
Glyma.04G240400	135	2	20	5	18	10	5	20	2	125	3	13	2	13	7	1	20	2
Glyma.04G240500	62	1	11	3	3	2	2	6	0	44	0	5	1	9	1	2	12	0
Glyma.04G240600	41	1	1	7	2	0	0	8	0	51	0	1	2	4	0	0	5	0
Glyma.04G240800	4334	41	716	177	619	279	136	618	22	3441	62	482	66	552	118	36	529	24
Glyma.04G240900	538	6	58	25	70	27	14	72	8	432	4	41	12	67	12	3	61	7
Glyma.04G241900	348	5	83	14	78	16	16	54	3	296	6	60	11	76	4	3	55	3
Glyma.04G242100	365	20	16	6	23	47	14	85	4	300	11	8	3	15	38	3	65	1
Glyma.04G242300	193	1	50	14	24	14	3	36	2	135	0	44	3	18	5	0	31	0
Glyma.04G242700	30	1	4	1	5	3	3	12	0	41	0	5	0	4	1	0	6	0
Glyma.04G242800	47	0	2	1	5	11	4	47	0	33	0	2	1	0	19	0	42	1
Glyma.04G243000	64	0	3	5	5	2	1	9	0	61	0	2	2	3	0	0	7	0
Glyma.04G243100	88	0	22	6	11	8	1	13	2	61	1	14	2	13	2	0	11	1
Glyma.04G243500	106	1	8	1	5	7	4	13	0	106	1	6	1	2	4	1	8	2
Glyma.04G243600	970	8	59	15	111	40	18	124	10	817	12	43	8	82	31	11	78	8
Glyma.04G243900	290	2	148	17	92	19	12	39	4	209	3	123	12	71	4	1	30	1
Glyma.04G244900	44	1	14	3	7	4	3	10	0	39	0	10	0	4	2	0	3	1
Glyma.04G245100	122	2	22	1	21	8	5	13	5	105	2	22	1	14	4	2	5	5
Glyma.04G245400	591	10	122	25	86	26	13	117	8	529	6	129	13	86	18	5	104	12
Glyma.04G245700	190	5	18	4	28	11	10	35	3	172	3	23	2	30	6	1	27	0
Glyma.04G245800	69	1	12	1	9	1	1	10	1	50	2	3	3	7	3	2	18	1
Glyma.04G246100	164	1	22	11	27	10	7	23	2	147	2	22	2	24	8	2	33	0
Glyma.04G246200	257	1	15	13	33	8	5	28	3	204	2	16	8	30	10	5	32	3
Glyma.04G246600	26	0	3	13	1	2	2	2	1	0	0	0	0	0	0	0	0	0
Glyma.04G246800	101	0	13	6	14	4	0	13	1	79	2	19	3	14	4	0	14	1
Glyma.04G247000	39	0	4	2	6	1	0	10	0	27	0	11	0	8	1	0	4	0
Glyma.04G247200	233	4	47	20	33	11	10	36	4	181	0	20	8	28	4	4	31	2
Glyma.04G247500	77	2	7	3	8	6	5	14	1	75	2	9	2	11	3	1	17	2
Glyma.04G247600	199	7	13	7	46	25	16	44	3	181	10	9	3	26	20	6	44	3
Glyma.04G247700	133	4	19	7	23	9	3	25	0	119	0	20	4	22	5	2	23	2
Glyma.04G247800	30	2	4	4	30	2	1	7	0	29	1	4	3	21	1	0	11	1
Glyma.04G247900	606	5	124	18	81	27	14	91	8	442	4	85	14	76	15	6	56	7
Glyma.04G248100	123	3	15	3	20	8	3	29	5	124	1	22	4	11	0	2	21	3
Glyma.04G248300	287	1	30	15	32	15	5	62	3	244	2	21	5	30	7	4	48	4
Glyma.04G248500	161	2	12	4	6	5	3	27	0	143	1	0	0	9	3	1	23	1
Glyma.04G248900	45	0	9	3	7	0	1	8	1	26	0	8	0	7	4	0	9	0
Glyma.04G249000	1044	7	56	19	91	101	27	166	9	762	5	32	7	72	60	12	129	6
Glyma.04G249300	65	1	16	6	4	2	5	16	0	77	0	10	1	8	2	3	15	0
Glyma.04G249400	200	3	13	5	8	15	8	22	2	165	1	4	2	8	11	5	26	0
Glyma.04G249500	33	0	3	2	5	2	1	3	1	31	0	4	2	6	2	0	5	0
Glyma.04G249900	24	1	1	0	1	9	1	20	5	27	1	1	1	2	5	1	14	7
Glyma.04G250000	89	1	9	4	10	5	2	18	7	70	1	7	4	5	1	0	7	7
Glyma.04G250200	121	0	29	2	28	6	2	23	0	92	0	36	2	28	2	1	23	1
Glyma.04G250300	103	3	16	7	10	0	5	13	0	71	1	8	2	13	0	0	6	0
Glyma.04G250400	140	0	22	10	16	5	2	18	0	101	0	17	3	20	6	3	17	1
Glyma.04G250500	104	0	15	7	14	6	2	23	2	85	2	14	3	15	2	1	17	0
Glyma.04G251200	48	0	9	5	5	4	1	5	0	50	0	13	1	12	3	1	9	0
Glyma.04G251300	61	2	13	4	6	4	1	18	2	72	2	10	1	2	2	1	14	0
Glyma.04G251502	103	1	13	3	29	6	4	18	0	107	0	13	2	12	4	1	19	0
Glyma.04G251700	152	4	12	5	16	7	2	14	0	99	4	13	2	8	2	4	13	2
Glyma.04G251800	57	0	13	0	8	6	4	12	1	57	0	5	1	7	1	1	9	2
Glyma.04G252400	85	2	6	1	15	5	1	10	0	73	0	5	4	14	2	4	8	0
Glyma.04G252700	64	0	23	8	17	4	4	18	0	65	0	20	1	25	0	1	9	0
Glyma.04G252800	112	1	11	3	19	6	2	19	2	100	1	14	5	11	2	0	21	1
Glyma.04G252900	149	1	22	4	19	9	5	24	2	126	4	11	3	30	3	1	17	1
Glyma.04G253000	238	5	22	2	32	17	6	53	2	235	0	16	4	44	11	1	53	8
Glyma.04G253100	32	0	1	4	3	3	0	2	0	29	0	7	2	7	0	1	8	1
Glyma.04G253300	40	0	5	2	4	1	0	8	1	30	0	2	0	9	1	0	7	0
Glyma.04G253400	198	4	19	5	29	10	6	36	4	154	2	25	6	23	3	4	31	5
Glyma.04G253500	123	0	6	2	12	7	3	13	0	111	4	2	2	11	4	1	12	1
Glyma.04G253600	56	1	18	1	8	4	2	8	0	45	0	11	3	12	5	0	3	0
Glyma.04G253700	93	3	9	3	9	8	6	22	3	77	0	6	3	13	1	0	18	1
Glyma.04G253800	343	6	46	11	36	31	7	51	2	264	2	29	12	37	6	2	39	2
Glyma.04G253900	63	1	3	0	3	4	2	12	0	41	0	4	0	12	1	0	7	2
Glyma.04G254000	50	0	8	2	5	2	3	11	0	43	2	4	2	4	0	0	7	0
Glyma.04G254100	270	4	26	9	19	13	6	31	2	188	3	19	5	22	6	2	22	2
Glyma.04G254200	37	0	5	2	2	3	1	4	1	0	0	0	0	0	0	0	0	0
Glyma.04G254300	37	2	4	1	5	0	2	7	0	45	3	1	0	3	0	0	4	0
Glyma.04G254600	96	1	15	3	20	4	9	14	3	75	2	10	2	17	3	2	14	0
Glyma.04G254900	124	0	20	7	22	12	5	34	0	120	2	21	1	14	2	1	25	1
Glyma.04G255000	66	1	13	6	6	2	3	6	0	54	5	3	4	11	4	2	5	2
Glyma.04G255100	194	2	29	10	15	15	6	25	1	153	4	15	6	15	9	1	22	4
Glyma.04G255700	927	17	97	33	85	58	30	161	19	749	9	66	9	89	29	9	148	13
Glyma.04G255800	35	1	3	1	0	6	1	7	8	0	0	0	0	0	0	0	0	0
Glyma.04G255900	51	2	12	5	5	2	1	12	0	43	0	9	2	6	0	2	6	0
Glyma.04G256100	199	0	14	10	10	14	2	34	9	140	3	8	4	10	5	1	24	7
Glyma.04G256300	25	0	3	0	1	0	4	3	0	0	0	0	0	0	0	0	0	0
Glyma.04G256400	113	1	18	5	11	5	3	14	2	94	2	13	3	11	9	2	9	0
Glyma.04G256600	133	5	23	7	27	8	11	28	2	109	1	8	1	8	0	1	29	3
Glyma.04G256700	108	0	20	4	21	4	2	18	0	115	1	12	4	15	0	1	18	0
Glyma.04G256800	35	1	4	0	3	1	1	5	0	0	0	0	0	0	0	0	0	0
Glyma.04G256900	44	2	4	1	5	1	0	8	0	39	0	4	1	4	0	0	4	2
Glyma.04G257000	436	4	69	14	68	25	14	77	5	364	4	40	3	45	18	4	69	2
Glyma.04G257200	787	14	103	31	117	50	20	160	4	725	11	109	20	105	32	13	144	14
Glyma.04G257502	290	3	53	10	45	9	4	58	3	236	6	44	1	46	9	3	36	5
Glyma.05G000200	265	2	33	11	40	17	6	60	3	231	1	27	6	32	12	0	48	4
Glyma.05G000300	23	0	6	1	3	5	2	2	0	0	0	0	0	0	0	0	0	0
Glyma.05G000500	30	0	5	2	2	1	1	5	0	0	0	0	0	0	0	0	0	0
Glyma.05G000600	865	15	133	30	129	47	13	152	11	786	16	95	21	130	16	9	146	24
Glyma.05G000700	775	7	116	38	220	39	24	98	9	563	4	79	30	150	17	2	78	2
Glyma.05G000800	108	1	23	6	24	11	2	16	0	81	0	13	0	14	1	0	12	0
Glyma.05G000900	49	2	0	1	7	5	1	7	1	42	2	3	0	7	3	0	5	1
Glyma.05G001000	80	0	14	2	11	6	0	19	1	60	2	9	2	13	2	0	7	0
Glyma.05G001200	174	1	25	8	23	11	6	25	1	148	2	15	3	18	3	4	23	4
Glyma.05G001600	538	12	52	22	70	33	8	74	6	454	9	46	8	57	18	5	56	4
Glyma.05G001700	128	2	13	3	25	6	1	11	0	114	1	5	1	20	3	1	16	1
Glyma.05G001800	282	2	39	16	43	14	6	50	2	207	2	39	5	41	6	6	26	2
Glyma.05G001900	870	7	101	36	93	53	28	179	9	799	9	73	23	96	32	11	141	7
Glyma.05G002250	40	1	4	1	6	2	1	8	1	38	0	2	1	5	2	0	5	0
Glyma.05G002300	111	1	8	2	10	1	4	24	1	106	1	13	2	5	1	0	13	2
Glyma.05G002400	32	1	3	0	5	1	2	5	1	0	0	0	0	0	0	0	0	0
Glyma.05G002500	939	11	40	17	29	28	18	102	14	815	11	20	2	34	12	3	66	14
Glyma.05G002600	141	2	17	3	6	2	2	16	5	137	1	15	1	8	3	0	11	1
Glyma.05G002800	93	1	11	4	25	6	3	18	1	79	0	18	5	29	2	0	15	0
Glyma.05G003400	171	1	24	8	27	10	5	29	0	164	4	23	0	45	11	0	23	5
Glyma.05G003500	390	1	81	26	89	16	13	62	4	411	3	66	17	79	8	1	66	5
Glyma.05G003600	43	0	7	3	12	1	5	13	0	39	1	5	0	11	1	1	7	0
Glyma.05G003800	126	1	12	7	22	12	6	21	2	96	6	10	4	17	7	0	27	4
Glyma.05G003900	47	0	1	0	2	4	2	1	0	55	0	1	1	4	0	0	5	1
Glyma.05G004000	229	4	33	20	47	11	4	51	2	203	2	34	8	40	9	2	35	3
Glyma.05G004100	155	3	12	7	21	15	2	40	3	158	1	11	3	22	9	3	31	0
Glyma.05G004200	78	1	9	3	6	3	3	10	0	47	2	5	1	7	1	0	7	1
Glyma.05G004500	84	4	14	1	5	4	0	20	0	41	1	6	1	5	4	0	13	1
Glyma.05G004700	86	0	14	3	17	3	2	7	1	63	0	14	4	14	2	0	10	0
Glyma.05G004900	51	3	5	3	8	7	2	7	0	45	1	5	1	5	1	0	8	2
