RNA_en1:Cortex_Epidermis	RNA_en1:Endodermis	RNA_en1:Nodule_infected_cell	RNA_en1:Nodule_meritem	RNA_en1:Nodule_uninfected_cell	RNA_en1:Pericycle	RNA_en1:Phloem	RNA_en1:Procambium	RNA_en1:Xylem	RNA_en2:Cortex_Epidermis	RNA_en2:Endodermis	RNA_en2:Nodule_infected_cell	RNA_en2:Nodule_meritem	RNA_en2:Nodule_uninfected_cell	RNA_en2:Pericycle	RNA_en2:Phloem	RNA_en2:Procambium	RNA_en2:Xylem
Glyma.01G010400	294	3	49	16	41	16	7	38	1	275	2	42	9	55	6	1	29	7
Glyma.01G010500	67	3	2	2	1	3	1	8	1	55	0	4	3	3	3	0	3	0
Glyma.01G010600	63	1	11	1	9	7	3	15	1	40	1	8	2	8	1	0	7	0
Glyma.01G010800	275	3	63	18	38	10	5	60	6	219	5	70	22	26	6	4	35	1
Glyma.01G010900	168	3	13	5	13	12	4	34	1	161	5	14	2	9	4	1	24	2
Glyma.01G011100	102	1	19	2	9	10	7	16	0	99	0	7	0	6	2	1	20	1
Glyma.01G011200	260	5	42	8	45	13	11	63	1	236	3	30	9	57	9	3	65	0
Glyma.01G011700	44	0	6	0	0	1	2	5	0	0	0	0	0	0	0	0	0	0
Glyma.01G011900	101	3	8	3	4	6	3	14	0	83	4	3	0	1	0	0	7	0
Glyma.01G012300	129	0	12	5	9	5	2	16	1	88	0	8	1	11	1	0	11	1
Glyma.01G012400	29	1	3	1	5	1	0	5	0	35	0	0	0	6	1	0	3	0
Glyma.01G012500	585	7	61	22	63	32	7	104	6	486	4	47	4	50	31	6	77	7
Glyma.01G012700	426	3	69	33	67	34	16	89	5	386	7	64	7	60	12	7	65	5
Glyma.01G013600	276	2	22	12	41	16	15	45	5	215	1	38	4	37	5	2	38	3
Glyma.01G013800	78	2	14	6	8	1	3	16	0	59	1	10	1	11	2	2	7	0
Glyma.01G013900	34	1	2	0	0	11	6	8	0	43	4	0	0	1	8	1	9	0
Glyma.01G014000	63	0	4	3	9	6	0	15	1	43	1	4	3	9	2	0	3	0
Glyma.01G014100	34	0	4	8	3	1	1	14	1	35	0	3	5	4	0	0	11	0
Glyma.01G014200	157	2	28	13	17	4	3	25	1	177	0	26	13	15	0	0	13	2
Glyma.01G014400	68	2	12	3	7	5	1	18	1	81	2	9	3	11	1	1	17	0
Glyma.01G014500	93	3	18	4	14	9	2	21	1	81	1	10	3	18	2	0	9	2
Glyma.01G014700	685	15	60	17	129	62	15	94	4	542	10	49	13	92	31	11	65	6
Glyma.01G014900	36	0	11	1	5	2	3	6	1	42	0	7	1	16	3	0	3	1
Glyma.01G015000	1096	10	119	41	128	76	41	164	9	931	8	91	18	129	36	11	148	12
Glyma.01G015100	43	0	8	3	9	1	1	7	0	33	0	2	1	6	3	1	10	1
Glyma.01G015200	99	0	16	8	8	4	6	16	4	73	2	16	9	11	2	1	10	2
Glyma.01G015300	31	0	5	3	4	1	0	3	0	0	0	0	0	0	0	0	0	0
Glyma.01G015400	68	1	7	10	6	3	2	15	1	41	2	2	8	5	2	0	14	0
Glyma.01G015500	93	0	7	8	10	10	4	19	1	69	0	15	2	14	4	0	23	2
Glyma.01G015600	117	1	14	4	10	11	6	24	0	82	1	11	2	12	1	1	13	1
Glyma.01G015700	67	1	6	4	5	2	0	10	0	49	0	4	4	2	0	0	7	1
Glyma.01G015900	163	4	24	3	21	8	0	21	7	124	1	16	2	17	3	1	16	3
Glyma.01G016100	69	0	18	5	21	3	1	14	2	66	0	26	2	9	1	0	15	0
Glyma.01G016300	32	0	5	0	5	2	0	2	0	0	0	0	0	0	0	0	0	0
Glyma.01G016400	125	2	10	5	11	4	4	24	2	75	2	4	2	8	6	0	16	1
Glyma.01G016800	385	9	34	13	40	41	19	76	16	283	11	17	6	39	7	4	65	10
Glyma.01G016900	166	2	19	7	25	6	4	32	3	135	3	13	2	28	5	0	16	1
Glyma.01G017000	1459	21	112	50	288	81	35	269	13	1177	13	101	24	233	39	19	189	18
Glyma.01G017100	232	3	7	4	14	13	5	35	3	228	2	6	1	14	4	3	26	0
Glyma.01G017700	1384	13	86	32	77	108	48	432	22	1138	12	45	17	78	93	22	363	26
Glyma.01G017800	35	0	3	4	6	2	0	7	0	27	0	5	1	6	1	0	2	1
Glyma.01G018100	65	8	11	6	2	10	2	29	2	49	6	4	0	5	6	0	37	0
Glyma.01G018300	104	1	18	3	18	1	7	12	1	77	0	18	0	9	2	0	7	0
Glyma.01G018400	166	1	13	10	29	17	7	19	1	131	4	18	2	18	4	0	27	5
Glyma.01G018600	73	1	9	3	7	3	2	7	0	54	1	1	2	8	3	0	11	0
Glyma.01G018700	62	1	9	5	4	5	1	11	1	46	0	3	1	8	1	3	9	0
Glyma.01G018800	36	0	2	2	5	3	2	8	0	26	1	4	0	4	0	0	10	0
Glyma.01G019100	79	0	6	3	9	3	4	13	1	52	0	6	0	7	1	1	13	2
Glyma.01G019200	8799	63	395	150	205	302	187	591	39	7393	42	157	44	236	97	30	453	29
Glyma.01G019300	23	0	2	2	4	1	0	6	0	0	0	0	0	0	0	0	0	0
Glyma.01G019400	230	12	14	7	14	10	13	41	4	179	2	9	4	21	6	2	38	1
Glyma.01G019600	69	3	12	5	8	5	3	19	1	65	0	3	3	8	2	0	17	0
Glyma.01G019700	245	3	34	16	75	7	7	20	0	185	4	30	5	49	5	0	13	1
Glyma.01G019800	424	31	69	11	65	13	13	59	4	386	18	57	7	51	15	5	38	1
Glyma.01G019900	101	0	21	2	16	7	1	16	1	91	1	18	7	18	1	0	12	0
Glyma.01G020100	539	5	127	26	111	21	11	53	3	426	0	110	13	123	9	2	47	3
Glyma.01G020200	29	0	4	2	5	3	4	9	3	21	7	1	1	6	2	1	7	1
Glyma.01G020300	234	6	34	10	32	11	14	49	4	203	12	28	3	23	14	3	48	1
Glyma.01G021200	58	0	35	43	10	5	3	9	2	53	0	36	41	13	1	0	6	0
Glyma.01G021301	29	1	7	1	6	1	2	9	0	0	0	0	0	0	0	0	0	0
Glyma.01G021400	229	4	38	14	50	17	10	43	1	225	4	26	12	37	2	0	41	3
Glyma.01G021600	87	3	11	8	18	6	3	20	2	67	1	10	3	8	0	1	18	2
Glyma.01G022100	496	2	100	24	65	23	19	68	2	389	4	68	7	91	14	0	43	3
Glyma.01G022400	92	28	5	1	16	9	1	13	0	74	22	1	4	7	3	0	17	1
Glyma.01G022500	896	0	144	33	170	36	13	118	4	853	4	106	15	148	5	2	69	1
Glyma.01G022600	48	1	4	4	4	2	0	0	0	42	0	2	0	1	0	0	1	0
Glyma.01G022700	253	5	97	21	58	17	3	31	3	170	6	91	13	43	3	1	33	3
Glyma.01G022800	71	0	24	0	17	2	0	15	0	70	1	19	2	15	6	1	10	1
Glyma.01G023000	114	2	32	8	10	8	9	48	2	134	2	15	5	11	3	5	45	1
Glyma.01G023200	250	2	26	3	41	12	12	45	1	177	4	20	5	35	4	4	38	5
Glyma.01G023300	60	0	9	4	12	4	5	13	4	52	1	9	2	10	1	4	26	1
Glyma.01G023500	389	3	33	24	48	18	4	52	2	334	10	28	12	57	10	0	57	4
Glyma.01G023600	298	9	39	25	48	17	14	45	1	269	5	47	21	71	8	5	46	3
Glyma.01G023700	141	2	20	4	10	3	6	17	2	90	3	15	3	15	1	1	16	2
Glyma.01G023900	95	3	14	7	14	9	2	12	1	87	3	9	1	8	6	2	15	1
Glyma.01G024000	213	3	15	5	34	9	7	21	2	146	1	14	2	30	4	5	24	0
Glyma.01G024600	115	3	16	2	13	10	4	28	0	92	2	24	5	16	5	0	12	2
Glyma.01G024700	26	0	12	3	4	0	0	8	0	27	0	11	2	2	1	0	6	1
Glyma.01G025100	333	2	124	19	59	26	16	50	1	289	7	78	7	53	11	1	31	6
Glyma.01G025500	34	3	2	0	4	3	1	6	0	0	0	0	0	0	0	0	0	0
Glyma.01G025600	58	0	3	0	8	2	2	7	0	51	0	6	1	6	1	1	3	0
Glyma.01G025800	568	6	22	14	35	26	20	154	4	518	6	15	2	36	17	6	98	1
Glyma.01G026000	105	1	25	3	23	2	2	14	1	76	0	14	3	15	0	0	14	1
Glyma.01G026100	200	1	28	4	13	8	4	20	1	141	3	21	2	18	0	4	11	1
Glyma.01G026200	921	15	77	27	91	74	22	201	3	892	13	50	11	80	38	3	186	4
Glyma.01G026500	77	2	25	4	12	2	1	11	0	59	0	30	0	15	1	0	10	1
Glyma.01G026600	86	0	27	1	12	3	3	15	0	70	0	22	0	18	1	0	21	1
Glyma.01G026700	128	0	22	7	25	4	5	29	4	98	1	22	3	25	2	8	19	2
Glyma.01G027300	313	1	44	7	42	20	9	52	4	272	1	28	1	43	5	3	33	2
Glyma.01G027500	114	2	15	3	22	3	3	20	3	128	4	14	4	20	4	0	11	2
Glyma.01G027700	68	1	15	2	7	5	0	15	1	68	0	8	2	7	6	4	7	0
Glyma.01G027800	67	1	5	2	9	3	3	41	0	63	0	5	2	5	2	2	35	0
Glyma.01G028100	70	0	2	1	4	9	3	6	2	59	0	0	1	3	0	0	8	2
Glyma.01G028500	935	17	143	53	128	73	37	168	9	712	10	73	23	135	13	6	117	5
Glyma.01G028600	62	2	53	4	28	4	3	18	1	66	0	57	2	18	6	1	7	0
Glyma.01G028700	243	27	38	13	31	22	8	61	3	221	24	34	7	28	22	6	58	4
Glyma.01G028800	79	4	6	3	12	5	3	14	3	51	1	2	1	11	2	3	6	4
Glyma.01G028900	353	2	25	12	54	35	5	61	5	257	3	17	3	54	12	3	31	6
Glyma.01G029000	104	1	18	4	8	2	4	18	1	75	1	11	3	9	3	3	10	3
Glyma.01G029100	100	2	10	3	18	5	3	14	2	62	1	9	1	6	7	0	16	1
Glyma.01G029200	870	8	123	43	89	68	35	123	4	689	10	90	12	77	18	11	99	4
Glyma.01G029400	108	2	11	10	18	5	6	16	1	67	0	12	2	9	6	0	8	0
Glyma.01G029500	152	2	22	8	13	15	2	29	5	148	2	17	3	21	9	0	27	5
Glyma.01G029600	215	1	26	6	16	8	9	38	5	128	0	12	2	18	6	4	19	1
Glyma.01G029800	384	5	46	10	38	15	16	51	9	310	4	25	6	25	7	4	35	2
Glyma.01G030300	50	1	5	0	10	2	2	4	0	46	0	5	0	4	0	1	4	0
Glyma.01G030400	133	1	12	4	9	14	3	40	0	133	0	8	1	10	6	4	40	0
Glyma.01G030600	104	1	16	8	18	5	2	20	1	91	1	12	3	20	4	0	11	2
Glyma.01G030800	645	9	76	28	80	40	17	116	9	522	7	57	10	65	21	6	93	12
Glyma.01G030900	39	0	1	0	10	3	1	3	0	21	1	3	4	12	0	0	4	0
Glyma.01G031300	23	0	16	32	3	1	0	1	0	19	0	7	39	5	0	0	7	0
Glyma.01G031400	1901	27	218	60	169	136	41	311	21	1657	29	156	33	201	61	17	289	27
Glyma.01G031500	351	0	17	10	27	23	6	25	5	289	1	12	3	12	13	3	24	3
Glyma.01G031700	512	10	49	12	59	36	17	129	7	439	7	18	7	51	16	6	96	3
Glyma.01G031800	454	17	85	12	28	32	6	52	4	406	22	88	8	40	10	3	46	1
Glyma.01G031900	846	11	79	25	64	59	17	166	6	690	9	52	8	69	34	12	142	3
Glyma.01G032000	48	0	8	6	23	1	1	16	0	25	2	12	0	8	1	0	3	0
Glyma.01G032100	434	7	49	18	41	20	11	69	6	354	8	33	4	30	22	3	47	6
Glyma.01G032500	333	6	46	11	34	26	7	58	0	272	3	43	3	42	6	2	39	3
Glyma.01G032900	35	0	2	0	6	2	1	13	2	43	1	0	0	2	2	1	9	2
Glyma.01G033000	38	0	1	2	4	2	2	13	2	29	2	3	0	2	1	2	14	0
Glyma.01G033200	31	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
Glyma.01G033300	131	0	3	3	6	14	6	36	1	113	5	2	1	2	9	1	37	2
Glyma.01G033400	110	0	4	1	4	8	5	20	4	84	0	3	0	3	8	1	22	0
Glyma.01G034300	80	2	3	3	11	4	5	16	1	57	2	2	0	3	2	2	18	0
Glyma.01G035000	43	0	25	2	12	4	1	4	0	22	0	23	4	7	0	0	5	0
Glyma.01G035100	185	1	26	12	93	14	6	30	1	154	2	32	4	73	3	0	21	0
Glyma.01G035300	35	0	4	5	8	2	0	5	0	39	0	9	1	6	0	1	8	0
Glyma.01G035700	32	0	7	2	3	1	0	8	1	29	0	6	1	7	3	1	9	0
Glyma.01G036000	1175	5	39	26	31	97	29	201	20	887	7	27	8	33	56	12	143	8
Glyma.01G036200	325	6	65	8	61	17	8	80	3	301	8	73	10	60	8	3	71	4
Glyma.01G036500	501	5	73	18	70	31	17	88	4	434	4	43	13	71	9	1	55	12
Glyma.01G036700	128	2	20	4	21	5	5	19	1	107	4	15	4	17	7	1	12	1
Glyma.01G036800	68	0	5	0	3	2	0	6	0	0	0	0	0	0	0	0	0	0
Glyma.01G036900	306	5	30	11	41	10	13	61	2	257	5	25	3	40	10	5	40	4
Glyma.01G037200	40	0	1	1	4	2	0	2	1	28	0	2	0	3	4	1	2	0
Glyma.01G037300	53	3	10	3	11	3	2	13	1	47	0	11	1	4	1	3	7	2
Glyma.01G037400	74	0	14	6	9	5	0	13	2	69	1	13	1	11	1	0	3	0
Glyma.01G037600	47	2	4	2	1	2	1	3	0	33	1	1	1	3	5	0	2	0
Glyma.01G037700	117	1	5	7	11	8	1	22	4	105	0	8	1	5	1	0	10	4
Glyma.01G037900	35	0	4	2	3	3	1	9	1	0	0	0	0	0	0	0	0	0
Glyma.01G038002	49	0	5	3	6	0	0	9	0	46	1	7	2	7	0	0	8	0
Glyma.01G038100	87	1	13	11	11	6	2	15	1	88	1	13	1	13	1	0	24	0
Glyma.01G038250	90	2	10	3	9	6	1	19	2	61	0	5	0	3	3	0	9	0
Glyma.01G038300	397	1	34	13	38	22	9	48	6	324	6	18	9	33	14	1	55	4
Glyma.01G038400	37	1	7	0	14	1	1	10	2	46	0	5	1	12	1	1	3	0
Glyma.01G038600	193	6	29	9	29	24	40	108	1	178	3	23	4	20	13	24	101	1
Glyma.01G038700	94	2	19	3	6	6	4	27	2	85	3	7	1	6	4	0	30	1
Glyma.01G038800	178	2	24	7	20	12	3	21	0	148	3	17	5	22	4	1	16	2
Glyma.01G039500	51	0	7	1	6	10	10	13	4	43	0	8	0	4	7	1	8	0
Glyma.01G039800	33	0	2	2	4	1	0	6	0	34	1	5	1	9	1	3	7	0
Glyma.01G040000	36	1	1	1	2	2	2	10	0	37	4	1	1	2	4	0	8	0
Glyma.01G040300	55	0	1	2	7	3	0	16	2	51	1	1	2	5	0	0	11	1
Glyma.01G040400	382	4	27	9	64	28	10	69	2	350	9	11	4	53	9	1	47	2
Glyma.01G040900	228	1	32	4	21	7	3	29	6	232	2	19	0	20	1	3	23	2
Glyma.01G041300	149	0	20	11	21	11	5	33	2	148	2	27	4	21	6	2	23	0
Glyma.01G041400	24	4	4	2	1	2	0	6	0	0	0	0	0	0	0	0	0	0
Glyma.01G041500	58	3	11	2	12	3	1	11	1	51	2	9	2	15	4	0	6	2
Glyma.01G041651	34	0	8	1	7	4	2	2	2	45	1	5	0	3	0	0	9	0
Glyma.01G041700	34	0	3	3	1	3	1	8	0	0	0	0	0	0	0	0	0	0
Glyma.01G042300	1248	26	60	38	117	53	25	142	7	1033	21	39	23	151	24	3	110	5
Glyma.01G042400	208	6	14	21	31	4	4	31	1	172	6	16	5	41	3	0	27	4
