RNA_rt3:Cortex	RNA_rt3:Endodermis	RNA_rt3:Epidermis	RNA_rt3:Pericycle	RNA_rt3:Phloem	RNA_rt3:Procambium	RNA_rt3:Root_hair	RNA_rt3:Xylem	RNA_rt4:Cortex	RNA_rt4:Endodermis	RNA_rt4:Epidermis	RNA_rt4:Pericycle	RNA_rt4:Phloem	RNA_rt4:Procambium	RNA_rt4:Root_hair	RNA_rt4:Xylem
Glyma.08G228000	41	8	27	1	0	5	3	0	75	9	58	5	5	13	6	4
Glyma.08G228900	21	5	26	2	0	9	2	0	47	9	28	0	0	12	4	0
Glyma.08G229400	57	8	40	4	2	29	2	0	87	23	75	11	0	49	8	1
Glyma.08G229600	235	45	156	27	15	88	19	4	487	97	313	50	19	185	41	8
Glyma.08G230100	52	6	5	2	0	5	2	0	83	16	8	3	14	10	0	2
Glyma.08G230200	22	9	21	2	0	8	0	0	40	22	45	5	2	20	6	0
Glyma.08G230800	27	10	15	3	1	16	0	0	54	9	42	7	2	39	5	0
Glyma.08G230900	35	9	34	5	0	11	5	0	66	17	55	11	1	37	8	0
Glyma.08G231300	69	8	53	3	1	17	1	0	131	19	86	6	4	55	5	4
Glyma.08G231400	48	8	45	6	1	14	7	0	75	23	81	10	1	25	9	3
Glyma.08G231900	29	2	21	2	3	7	12	0	56	4	38	5	6	12	12	3
Glyma.08G232000	54	7	43	3	2	18	7	1	96	13	80	6	5	41	13	4
Glyma.08G232600	29	0	7	5	3	22	1	1	64	4	25	13	2	43	7	6
Glyma.08G232700	42	9	15	6	1	16	0	1	72	13	46	8	4	40	2	4
Glyma.08G233300	22	4	27	2	0	7	9	2	62	7	48	4	1	12	9	1
Glyma.08G233500	54	7	28	7	11	7	2	4	118	11	66	6	15	27	12	4
Glyma.08G233702	352	63	305	34	7	172	29	3	819	184	556	96	16	376	87	3
Glyma.08G234200	132	12	132	12	8	32	10	0	241	33	267	20	8	89	15	8
Glyma.08G234600	102	12	125	8	0	13	23	2	247	35	268	14	10	66	49	4
Glyma.08G234700	61	6	70	5	3	20	5	1	127	21	100	13	1	65	11	4
Glyma.08G235600	77	4	144	5	0	15	14	1	163	21	250	9	4	24	30	6
Glyma.08G235900	312	49	553	43	3	90	37	1	633	118	951	70	23	192	92	22
Glyma.08G236200	48	3	32	2	1	12	1	0	82	13	63	5	6	27	5	4
Glyma.08G236400	68	16	68	2	1	23	8	1	144	30	119	14	0	47	7	2
Glyma.08G236800	43	3	33	3	1	8	1	0	92	18	56	12	2	43	6	1
Glyma.08G237150	57	6	40	3	0	10	10	0	112	15	86	4	2	38	14	3
Glyma.08G237500	250	39	202	20	12	137	23	2	521	93	313	58	9	327	44	8
Glyma.08G238000	76	8	48	7	2	23	9	4	119	17	92	9	5	57	23	6
Glyma.08G238100	15	24	2	2	0	14	1	2	20	55	13	5	2	47	3	3
Glyma.08G238400	15	2	21	1	0	5	0	0	31	5	24	2	0	13	2	0
Glyma.08G238500	109	12	63	6	1	25	4	1	173	32	126	26	7	95	16	4
Glyma.08G238800	128	20	113	10	2	30	15	0	228	39	218	21	3	61	30	4
Glyma.08G239500	39	9	35	3	4	11	1	1	72	18	55	11	6	21	10	1
Glyma.08G239900	1033	79	914	45	19	202	106	12	1957	181	1549	146	47	526	175	39
Glyma.08G240300	79	21	67	6	5	20	6	0	152	22	119	18	13	48	15	8
Glyma.08G240800	31	4	36	6	0	10	3	1	103	9	73	7	1	29	8	0
Glyma.08G240900	20	1	17	0	0	1	0	1	42	4	26	2	2	13	2	1
Glyma.08G241200	89	15	67	9	2	9	4	0	135	19	93	20	6	33	5	3
Glyma.08G241300	45	4	29	2	0	12	2	2	90	10	48	8	4	30	5	3
Glyma.08G242500	40	7	28	2	1	10	8	0	83	9	58	1	3	25	11	2
Glyma.08G242800	13	5	20	5	0	9	0	1	33	7	20	1	1	10	2	1
Glyma.08G243000	104	11	63	5	1	16	22	5	236	38	103	15	15	62	70	12
Glyma.08G244900	21	5	13	2	1	6	0	0	47	14	32	14	0	22	0	0
Glyma.08G245100	235	36	222	25	6	90	11	0	442	94	318	46	8	196	24	3
Glyma.08G245200	58	10	39	5	3	14	3	0	86	18	68	22	3	35	8	0
Glyma.08G245400	29	5	27	0	1	8	4	1	34	13	32	8	7	15	11	3
Glyma.08G246300	15	2	48	3	0	1	5	2	37	15	67	3	1	21	7	3
Glyma.08G246400	72	12	42	7	4	11	2	0	118	26	69	9	6	46	15	3
Glyma.08G246600	101	16	112	6	1	21	12	0	239	30	209	19	0	65	12	5
Glyma.08G246800	58	4	56	1	2	9	5	1	108	10	106	3	1	25	4	6
Glyma.08G247700	18	8	27	5	3	6	2	0	37	10	56	4	5	23	22	0
Glyma.08G247800	28	3	19	1	1	7	0	0	48	9	62	0	1	16	3	1
Glyma.08G247932	25	2	17	2	0	2	0	0	43	6	46	4	0	18	2	3
Glyma.08G249600	54	6	57	2	2	12	8	2	91	7	102	4	4	20	18	3
Glyma.08G249900	20	2	17	0	0	1	6	2	37	3	18	1	0	8	15	4
Glyma.08G250900	21	2	19	2	0	6	2	0	39	8	35	6	0	20	4	0
Glyma.08G251300	79	8	77	7	3	26	9	3	190	25	108	11	6	60	11	7
Glyma.08G251400	22	9	14	3	1	14	0	2	63	8	22	5	0	19	4	2
Glyma.08G252600	56	8	49	6	0	19	14	0	124	23	116	14	0	39	28	0
Glyma.08G252650	52	8	57	2	4	13	9	1	88	16	61	8	4	31	18	0
Glyma.08G252800	20	0	17	0	0	3	1	1	21	5	39	2	1	9	1	6
Glyma.08G253000	35	1	16	2	2	4	6	1	87	9	41	6	2	21	17	1
Glyma.08G253100	56	11	73	1	2	9	2	0	144	13	106	12	6	43	9	1
Glyma.08G253600	10	3	14	0	0	5	2	1	18	4	18	1	2	9	4	0
Glyma.08G253800	87	6	54	6	1	41	3	0	147	30	96	10	0	105	10	8
Glyma.08G253900	140	31	132	19	4	69	10	1	351	76	236	38	18	144	27	6
Glyma.08G254100	20	4	14	0	0	0	2	1	31	4	27	3	0	8	3	2
Glyma.08G254200	87	8	124	4	3	15	9	1	258	26	191	14	13	50	26	3
Glyma.08G254500	82	13	80	10	2	18	24	4	171	24	138	16	9	65	43	11
Glyma.08G255000	44	6	23	5	1	11	0	1	71	14	37	8	4	44	10	7
Glyma.08G255300	6	15	4	8	0	10	0	1	14	15	4	7	2	29	2	0
Glyma.08G255800	35	2	19	1	3	21	4	0	59	14	15	7	4	16	12	8
Glyma.08G256100	17	3	14	1	1	3	5	0	34	11	27	2	1	8	7	0
Glyma.08G256300	206	48	162	26	10	116	16	7	443	103	318	53	16	249	37	6
Glyma.08G257100	125	13	43	4	13	19	15	14	192	16	67	8	35	61	34	40
Glyma.08G257500	24	7	25	3	3	14	1	0	66	12	42	5	5	35	6	2
Glyma.08G257600	61	7	41	6	2	43	4	1	99	25	67	22	14	75	6	3
Glyma.08G257800	6	3	0	0	7	43	2	0	23	6	8	2	5	73	0	13
Glyma.08G257900	109	12	66	12	1	20	9	1	156	34	98	23	4	72	20	1
Glyma.08G258000	20	3	28	3	2	5	2	1	45	12	35	2	13	15	5	3
Glyma.08G258500	41	4	34	6	0	20	4	0	73	19	37	6	1	38	4	0
Glyma.08G258700	198	48	171	23	12	59	19	2	404	123	258	36	11	188	32	7
Glyma.08G258800	46	13	48	1	0	16	7	1	86	19	72	11	6	36	16	1
Glyma.08G259000	75	13	43	7	1	27	6	0	173	41	74	15	8	60	15	2
Glyma.08G259100	228	20	140	21	3	50	19	1	406	63	207	41	6	111	25	7
Glyma.08G259200	114	18	28	5	3	36	7	8	258	51	49	16	24	78	22	24
Glyma.08G259500	18	6	21	0	1	3	8	2	45	8	29	4	7	10	6	3
Glyma.08G259700	50	6	45	2	2	22	2	0	89	18	58	5	2	42	10	4
Glyma.08G260200	21	5	22	3	0	9	3	1	46	5	26	5	2	19	5	1
Glyma.08G260300	37	5	36	4	2	11	0	0	67	9	56	10	2	31	5	2
Glyma.08G260500	145	9	33	10	14	37	45	0	249	46	85	19	13	71	87	3
Glyma.08G261000	124	25	53	6	9	17	11	0	165	41	87	13	16	38	17	1
Glyma.08G261200	17	1	19	1	0	3	3	0	42	4	19	5	0	11	3	3
Glyma.08G261800	28	1	16	1	0	1	1	1	52	8	36	4	5	13	4	5
Glyma.08G262900	189	39	167	19	3	46	19	4	451	77	284	44	8	140	46	12
Glyma.08G263000	35	3	23	9	2	28	3	1	76	20	35	9	3	79	7	6
Glyma.08G263300	17	3	24	1	0	3	2	0	53	14	34	4	1	16	0	0
Glyma.08G263500	49	12	40	3	0	17	1	0	100	24	88	18	3	56	5	0
Glyma.08G263800	168	18	121	19	3	43	16	4	297	49	234	33	5	126	22	6
Glyma.08G264100	82	13	67	8	3	21	3	1	148	30	116	9	4	52	20	4
Glyma.08G264402	127	16	112	13	1	34	6	1	249	49	203	36	4	72	17	3
Glyma.08G264800	488	18	511	23	0	48	79	1	888	100	914	40	24	160	85	17
Glyma.08G264900	43	6	38	7	0	11	1	0	70	8	56	7	2	51	12	8
Glyma.08G265200	50	9	43	7	0	8	7	2	134	12	47	12	4	27	7	13
Glyma.08G265300	240	36	189	26	3	79	13	2	457	109	338	61	14	233	38	14
Glyma.08G265400	98	18	96	10	0	18	7	2	178	25	151	12	3	41	16	6
Glyma.08G265600	66	18	40	6	3	15	5	2	131	21	76	9	3	45	9	4
Glyma.08G265967	18	7	18	2	0	13	1	0	39	13	17	2	3	38	1	1
Glyma.08G266300	317	44	294	51	7	116	20	3	654	151	518	93	14	337	44	17
Glyma.08G266400	122	25	114	9	2	37	13	2	259	55	221	19	5	76	29	7
Glyma.08G266700	353	47	300	51	9	128	25	1	695	133	474	82	18	321	78	12
Glyma.08G267900	155	24	175	23	3	65	9	2	343	71	261	32	11	154	31	10
Glyma.08G268300	18	4	16	2	0	10	3	1	31	6	19	4	0	18	1	1
Glyma.08G268900	150	38	150	6	2	27	15	1	260	107	237	25	6	78	13	2
Glyma.08G269700	414	58	381	27	4	73	14	1	779	112	679	66	9	238	71	9
Glyma.08G270701	37	9	36	3	0	15	4	4	121	29	87	11	11	46	7	3
Glyma.08G270900	84	12	55	7	0	24	5	2	133	27	89	20	1	50	9	3
Glyma.08G271402	311	49	252	45	17	58	31	1	598	94	433	68	42	174	61	8
Glyma.08G271600	23	10	28	132	15	63	1	0	135	26	53	381	234	184	9	14
Glyma.08G271700	74	18	59	10	3	23	15	1	160	24	116	22	5	49	20	14
Glyma.08G271900	15	3	15	3	2	5	1	1	47	5	25	8	6	16	3	1
Glyma.08G272000	36	2	46	4	3	4	5	1	75	11	110	7	2	24	14	5
Glyma.08G272100	183	24	166	18	12	69	34	5	500	110	379	64	35	222	91	20
Glyma.08G272600	18	9	12	2	0	9	0	1	34	16	14	3	0	29	3	2
Glyma.08G272800	65	16	63	12	2	32	3	2	210	48	127	35	12	86	24	13
Glyma.08G273000	64	17	61	10	4	17	5	1	142	21	107	14	2	39	12	0
Glyma.08G273200	55	8	53	3	0	18	3	0	107	24	80	15	0	27	7	0
Glyma.08G273300	17	0	10	4	2	6	2	1	24	10	20	6	1	5	1	1
Glyma.08G274300	73	13	46	12	2	18	3	0	133	20	81	27	4	32	12	2
Glyma.08G276400	89	22	62	12	1	46	6	2	175	38	102	27	5	120	16	5
Glyma.08G276700	51	7	60	3	1	17	4	0	88	13	111	11	0	34	11	0
Glyma.08G276900	51	8	38	2	0	6	0	0	69	15	70	16	1	27	5	0
Glyma.08G278600	46	11	46	5	0	14	0	1	100	24	81	9	1	41	7	1
Glyma.08G279200	17	1	36	6	0	4	5	1	33	2	51	4	3	17	7	1
Glyma.08G279800	38	9	33	5	1	31	2	0	70	25	59	18	6	69	3	0
Glyma.08G280600	61	6	70	5	2	16	2	0	109	22	89	13	2	29	4	11
Glyma.08G281400	44	12	53	6	1	11	6	1	100	32	65	17	4	42	13	2
Glyma.08G281600	119	9	74	3	4	16	129	12	242	35	93	9	17	51	170	17
Glyma.08G281800	33	9	9	5	10	11	1	0	63	19	20	6	24	14	0	3
Glyma.08G282400	286	64	158	39	2	126	5	0	494	98	276	67	13	266	27	9
Glyma.08G282800	82	47	29	20	6	26	2	2	158	69	59	48	13	81	18	12
Glyma.08G282900	46	3	29	0	2	11	13	0	104	3	75	3	8	26	34	4
Glyma.08G283100	229	15	174	7	10	20	8	0	457	50	294	14	2	91	28	10
Glyma.08G283400	264	43	226	29	4	83	16	2	537	107	397	56	21	257	41	12
Glyma.08G283700	185	26	92	21	7	64	16	0	354	71	218	30	9	162	29	8
Glyma.08G284100	40	4	41	1	2	16	6	0	77	26	51	10	4	24	15	0
Glyma.08G284700	195	30	147	12	0	44	11	1	325	65	279	19	3	78	20	4
Glyma.08G285500	13	0	11	0	0	7	0	0	31	5	21	1	0	2	1	0
Glyma.08G285600	201	34	120	29	10	53	65	9	360	69	218	40	41	114	99	44
Glyma.08G285700	47	4	35	12	1	10	8	3	95	18	52	11	1	32	11	1
Glyma.08G285800	20	1	13	2	1	8	8	0	33	5	35	4	0	12	13	1
Glyma.08G285900	80	7	49	8	3	15	122	6	118	28	100	17	20	46	290	16
Glyma.08G286200	28	1	13	3	3	4	5	4	39	3	37	5	5	13	5	4
Glyma.08G286700	34	15	31	6	6	8	2	3	67	6	55	8	2	14	1	3
Glyma.08G287300	23	1	12	3	1	8	0	0	32	6	20	9	0	17	1	0
Glyma.08G287600	51	7	22	3	1	11	4	0	69	21	34	5	1	37	11	3
Glyma.08G287800	16	3	21	1	1	10	2	0	39	12	45	9	1	21	4	1
Glyma.08G288000	20	6	11	1	3	10	0	1	36	16	27	7	5	38	2	0
Glyma.08G288300	35	3	14	6	2	10	5	2	64	22	33	8	1	30	3	0
Glyma.08G288400	97	15	66	9	2	15	2	0	163	32	130	28	10	58	14	3
Glyma.08G288600	101	17	83	23	3	40	9	1	187	54	148	32	8	75	19	7
Glyma.08G288700	77	12	61	13	2	14	5	0	157	21	89	10	7	39	9	7
Glyma.08G288900	60	9	53	12	3	29	7	0	99	19	55	16	4	74	8	0
Glyma.08G289100	55	4	40	10	3	10	2	1	100	20	49	16	0	49	6	6
Glyma.08G290100	35	4	17	4	3	16	0	0	63	9	37	12	4	36	0	3
Glyma.08G290700	59	6	35	5	2	19	8	3	108	13	66	8	9	51	11	3
Glyma.08G291000	143	49	30	32	8	115	2	4	307	110	64	91	11	196	17	22
Glyma.08G291500	114	12	65	13	4	32	8	12	223	42	146	22	18	112	18	16
Glyma.08G291800	16	4	24	5	1	9	3	0	49	14	36	7	1	34	6	0
Glyma.08G292000	41	2	29	3	2	8	4	0	69	6	44	3	5	14	10	0
Glyma.08G292700	30	10	10	6	1	16	1	0	58	20	14	6	2	24	1	0
Glyma.08G292800	94	19	86	4	5	23	12	2	197	51	150	16	8	86	20	4
Glyma.08G292900	105	15	65	12	4	27	6	0	180	42	129	24	4	100	17	2
Glyma.08G293400	74	8	73	6	1	14	6	2	124	28	103	14	5	35	13	8
Glyma.08G293600	10	0	52	1	0	4	2	0	20	2	68	5	0	16	4	0
Glyma.08G293900	489	70	663	43	8	136	75	6	949	149	1075	77	14	360	173	29
Glyma.08G294700	31	6	18	4	0	12	0	0	55	9	33	6	1	9	7	1
Glyma.08G294800	49	8	63	4	1	12	55	1	128	20	100	10	1	31	129	3
Glyma.08G295700	101	21	77	17	2	29	6	0	222	40	153	30	6	84	19	10
Glyma.08G296000	49	5	28	13	1	18	3	0	73	20	47	16	1	42	8	2
Glyma.08G296300	59	11	73	6	1	25	5	0	132	22	109	23	2	49	7	6
Glyma.08G296400	28	2	29	2	0	6	1	0	38	9	47	9	0	17	3	1
Glyma.08G296500	49	1	34	4	2	12	8	0	74	20	51	7	3	31	9	4
Glyma.08G296700	22	4	17	4	0	4	0	1	38	7	21	1	1	14	3	4
Glyma.08G296800	154	15	71	16	1	26	12	0	281	36	136	31	6	86	22	4
Glyma.08G297100	38	3	28	5	1	5	1	1	96	9	40	6	3	26	5	0
Glyma.08G297300	155	20	93	18	7	29	16	5	271	81	193	25	28	86	24	13
Glyma.08G297400	19	12	10	4	1	8	0	1	41	11	10	10	10	23	2	3
Glyma.08G297900	49	6	25	5	3	17	2	2	106	14	49	6	5	39	14	1
Glyma.08G298400	40	25	10	1	0	8	0	0	57	35	8	5	3	10	2	3
Glyma.08G298500	108	14	86	8	3	24	9	1	180	26	143	18	3	45	20	12
Glyma.08G298900	124	12	61	9	5	29	14	6	341	24	124	9	22	76	35	13
Glyma.08G299000	74	1	48	2	4	6	17	3	115	16	64	12	9	9	27	1
Glyma.08G299900	150	20	136	12	7	29	15	10	269	25	227	21	13	75	40	2
Glyma.08G300100	40	13	44	12	4	11	8	0	76	15	67	10	3	33	5	1
Glyma.08G300400	37	3	17	9	0	10	7	0	53	18	34	13	2	34	9	1
Glyma.08G300451	42	5	35	2	0	10	2	2	68	16	49	4	5	23	7	0
Glyma.08G300700	118	29	88	8	6	48	14	5	284	50	148	29	16	99	30	4
Glyma.08G300800	14	5	9	5	3	6	3	0	38	3	14	2	2	19	5	0
Glyma.08G301200	93	13	106	7	2	19	10	0	204	31	142	14	2	54	16	5
Glyma.08G301300	56	7	37	2	3	12	9	5	106	21	37	8	7	21	18	12
Glyma.08G301700	19	3	20	4	1	9	1	0	41	13	29	9	5	24	1	0
Glyma.08G302200	52	6	23	3	6	4	8	3	111	6	48	7	27	24	21	23
Glyma.08G302400	166	17	114	23	5	71	14	1	300	55	211	38	13	143	26	8
Glyma.08G302500	83	27	46	12	4	36	4	1	184	46	82	15	9	72	9	6
Glyma.08G302833	61	18	74	13	2	21	0	0	153	47	109	16	1	61	10	1
Glyma.08G303400	34	1	22	2	0	2	3	0	55	2	46	2	0	6	2	0
Glyma.08G303700	31	11	45	4	2	13	2	0	90	28	69	6	4	39	6	0
Glyma.08G303800	82	10	55	11	0	14	5	1	132	14	79	19	3	25	18	4
Glyma.08G304000	88	10	61	7	3	15	1	0	131	26	102	12	3	46	12	1
Glyma.08G304100	111	14	87	2	2	14	11	0	229	29	135	5	6	49	13	4
Glyma.08G304300	60	8	56	8	2	16	5	0	116	26	91	12	1	49	9	5
Glyma.08G304700	29	3	23	1	1	5	1	1	40	6	35	3	5	12	5	5
Glyma.08G305100	71	11	68	5	3	12	6	0	158	29	137	7	2	45	17	2
Glyma.08G305450	18	4	15	5	0	5	1	0	43	18	40	2	1	15	4	0
Glyma.08G305500	64	9	47	4	2	17	5	0	62	18	60	11	1	35	12	1
Glyma.08G306100	26	3	16	0	0	4	0	1	42	3	23	1	0	14	0	1
Glyma.08G306800	166	56	90	33	45	56	28	9	306	113	145	64	95	125	60	33
Glyma.08G307600	77	4	41	2	1	4	11	1	124	10	95	11	5	36	15	1
Glyma.08G307800	72	9	65	7	2	18	4	3	142	35	69	18	2	51	6	7
Glyma.08G307900	15	3	19	2	2	10	0	0	30	7	26	6	1	17	1	1
Glyma.08G308200	112	36	71	24	3	87	6	2	235	79	129	37	5	214	10	1
Glyma.08G308700	15	2	10	16	2	66	4	2	44	11	21	47	7	107	6	2
Glyma.08G309000	14	5	20	6	0	28	2	0	21	10	39	3	1	49	4	0
Glyma.08G309300	16	3	11	4	2	3	0	4	28	7	15	3	9	20	4	5
Glyma.08G309400	102	16	66	6	4	30	7	2	171	36	132	17	17	72	18	2
Glyma.08G309900	250	47	164	43	3	95	13	1	505	91	300	104	15	238	30	12
Glyma.08G310300	22	1	20	2	0	6	2	0	38	14	31	9	3	23	3	0
Glyma.08G310400	31	5	19	1	1	7	1	1	58	8	28	7	3	28	3	2
Glyma.08G310800	20	4	21	17	1	19	1	0	28	23	22	23	2	39	3	0
Glyma.08G311000	56	5	59	6	4	38	6	1	152	35	92	17	6	69	7	3
Glyma.08G311200	71	11	70	8	4	28	16	1	168	37	120	14	6	38	25	4
Glyma.08G311300	190	26	139	15	7	59	23	4	325	68	232	35	26	118	37	10
Glyma.08G311700	18	2	31	5	0	9	1	1	41	4	65	4	1	29	3	3
Glyma.08G312300	79	31	31	1	1	14	4	0	121	68	62	10	6	55	21	4
Glyma.08G312400	193	28	175	11	2	30	21	8	349	75	246	28	19	99	45	7
Glyma.08G313000	86	7	80	8	2	18	7	1	174	36	122	17	6	55	12	1
Glyma.08G313100	53	14	46	5	1	10	2	1	113	24	94	16	2	62	7	8
Glyma.08G313300	21	1	22	7	1	6	1	0	41	6	20	4	0	23	3	1
Glyma.08G313400	52	5	48	8	5	17	4	0	107	12	72	9	4	45	7	1
Glyma.08G314400	20	1	14	2	2	1	3	3	47	4	40	2	0	10	11	3
Glyma.08G315100	41	11	42	10	1	8	4	0	86	17	76	6	3	25	7	0
Glyma.08G315200	107	14	96	10	6	25	11	2	194	33	149	17	13	51	17	12
Glyma.08G315300	38	12	27	4	0	11	3	1	86	14	52	6	6	30	2	0
Glyma.08G315400	32	3	30	5	1	6	3	1	69	23	35	5	6	35	9	2
Glyma.08G315600	13	1	18	1	1	3	1	0	63	7	38	3	4	12	0	3
Glyma.08G315900	49	17	61	6	1	19	7	0	121	35	100	21	3	59	16	2
Glyma.08G316100	101	12	73	9	1	36	6	0	214	30	162	14	7	63	15	2
Glyma.08G316500	78	19	70	5	4	33	32	1	209	46	94	25	5	72	50	7
Glyma.08G316700	237	11	100	15	13	34	105	6	368	45	169	15	32	97	150	16
Glyma.08G316900	34	7	33	5	0	4	2	1	64	8	41	4	2	23	14	3
Glyma.08G317000	28	2	21	2	0	5	4	0	46	6	41	2	1	10	5	0
Glyma.08G317200	26	0	5	0	2	5	1	2	46	6	14	9	9	18	0	1
Glyma.08G317400	50	4	33	9	0	20	3	1	78	8	48	18	3	38	1	4
Glyma.08G317700	40	4	38	5	4	15	2	0	74	10	73	11	2	28	1	1
Glyma.08G318000	200	3	83	2	5	23	9	1	367	14	131	8	2	53	25	1
Glyma.08G318100	118	22	77	17	3	50	19	2	249	63	186	37	5	132	22	4
Glyma.08G318200	173	43	177	28	4	105	16	4	474	107	251	79	14	230	25	12
Glyma.08G318600	20	1	6	3	1	10	0	0	34	5	18	2	2	22	0	0
Glyma.08G319000	36	5	25	3	2	8	2	1	66	8	65	7	6	20	6	0
Glyma.08G319100	68	4	72	4	0	20	5	0	129	21	114	16	5	46	12	5
Glyma.08G319300	24	7	26	7	0	6	0	0	49	7	39	2	1	22	4	7
Glyma.08G319500	24	2	27	6	3	12	5	0	88	31	40	8	11	36	13	1
Glyma.08G319800	19	3	23	4	0	8	1	0	63	16	31	4	0	16	3	0
Glyma.08G319900	15	6	11	1	0	5	1	0	38	8	28	8	2	14	5	2
Glyma.08G320100	31	3	23	2	2	4	7	0	55	9	36	4	4	16	26	4
Glyma.08G320300	19	2	18	3	0	5	1	0	39	7	33	2	0	18	7	0
Glyma.08G320500	148	12	77	6	9	18	24	11	251	28	143	13	38	70	41	23
Glyma.08G320700	86	9	94	5	4	16	6	1	169	21	134	13	8	50	10	3
Glyma.08G320800	24	3	17	2	1	4	1	0	48	7	28	1	1	5	2	1
Glyma.08G321000	13	4	14	3	0	4	0	0	19	6	36	2	3	17	3	2
Glyma.08G321100	103	4	31	94	13	65	2	3	190	16	53	207	31	170	6	10
Glyma.08G321800	26	3	19	1	1	0	4	2	53	3	32	1	4	6	6	5
Glyma.08G322167	15	5	9	1	0	6	0	0	23	5	9	5	2	16	0	0
Glyma.08G322600	51	12	40	5	5	7	6	2	108	11	66	5	12	19	12	8
Glyma.08G322700	14	7	16	1	0	1	1	1	34	6	25	4	3	11	2	1
Glyma.08G322900	71	4	35	3	5	10	21	6	105	17	46	7	5	26	19	10
Glyma.08G323200	48	5	47	4	1	7	1	1	70	12	64	10	3	24	9	2
Glyma.08G323850	41	8	33	3	0	13	0	0	32	4	27	3	1	23	7	1
Glyma.08G324000	58	7	54	4	3	10	4	0	97	21	80	16	8	32	7	4
Glyma.08G325100	22	5	19	1	1	6	1	3	40	13	22	9	4	20	6	1
Glyma.08G325300	26	5	31	1	0	2	10	0	52	9	48	1	4	22	9	1
Glyma.08G325500	25	4	13	6	0	10	4	1	55	9	36	4	7	14	6	4
Glyma.08G325900	34	6	31	4	2	14	7	0	71	21	52	3	0	36	16	3
Glyma.08G326700	64	11	51	6	1	24	5	1	181	22	89	18	5	72	13	2
Glyma.08G326800	55	15	47	5	1	15	1	0	70	16	62	8	6	48	4	6
Glyma.08G327400	26	4	17	1	2	3	6	0	24	4	17	2	8	8	3	2
Glyma.08G327900	128	22	118	12	2	36	11	2	234	42	216	25	9	103	26	10
Glyma.08G328800	60	3	196	1	1	11	5	0	129	8	331	1	1	21	9	1
Glyma.08G329100	312	53	221	41	17	134	14	3	751	129	434	78	40	394	42	23
Glyma.08G329200	382	75	253	57	14	194	27	3	882	262	449	122	37	606	58	14
Glyma.08G329300	18	5	23	1	4	8	1	2	59	8	18	11	7	13	3	1
Glyma.08G329400	15	6	21	0	0	11	0	1	33	4	19	8	0	18	4	1
Glyma.08G329500	31	4	28	2	1	8	3	2	59	21	36	6	10	26	4	3
Glyma.08G330100	16	2	13	49	2	32	3	0	58	16	33	72	11	124	4	1
Glyma.08G330200	27	8	17	5	1	20	2	0	74	20	35	14	2	44	4	2
Glyma.08G330400	191	33	119	26	20	44	46	12	395	68	185	46	25	122	89	21
Glyma.08G330600	138	6	133	3	4	24	4	0	285	30	193	16	7	43	15	4
Glyma.08G330700	256	25	201	15	2	27	31	3	512	45	375	22	11	84	66	8
Glyma.08G330800	248	36	189	29	2	54	25	0	430	107	321	43	9	156	44	3
Glyma.08G331200	39	3	23	1	0	13	7	1	51	9	36	3	5	23	9	7
Glyma.08G331800	49	20	26	79	9	46	0	1	100	58	52	126	23	126	8	3
Glyma.08G332000	67	12	48	5	1	30	6	1	111	26	113	16	7	72	15	6
Glyma.08G332200	19	4	14	2	0	5	2	0	31	3	31	7	2	8	5	0
Glyma.08G332300	83	14	77	2	0	8	4	0	149	28	145	7	2	22	3	0
Glyma.08G332600	49	9	27	3	2	4	3	2	74	11	60	4	4	10	6	1
Glyma.08G332700	57	13	49	9	1	18	8	1	111	17	79	10	2	50	10	0
Glyma.08G332800	136	14	92	17	6	30	13	1	248	27	136	17	20	87	29	13
Glyma.08G332900	75	12	81	7	3	19	48	6	130	22	104	10	10	42	93	32
Glyma.08G333100	42	6	44	12	2	22	3	2	99	33	66	14	5	47	9	2
Glyma.08G333400	84	18	47	8	4	22	4	1	140	28	88	14	2	49	6	6
Glyma.08G333700	66	2	47	9	5	23	9	0	126	24	83	35	7	44	10	6
Glyma.08G333900	82	22	58	14	2	99	4	3	138	35	101	28	7	221	17	4
Glyma.08G334000	42	5	16	3	2	10	3	0	74	19	56	13	6	30	13	2
Glyma.08G334100	61	13	71	13	2	43	7	2	121	22	103	15	6	68	26	2
Glyma.08G334800	33	4	9	1	1	9	0	0	36	9	18	5	1	24	1	0
Glyma.08G335300	19	3	20	0	0	3	2	0	31	4	25	5	1	6	5	1
Glyma.08G335400	36	7	37	3	0	4	2	0	75	12	55	11	4	15	8	1
Glyma.08G335500	54	6	32	4	4	12	5	2	94	22	58	17	3	35	13	0
Glyma.08G335600	45	6	31	6	1	5	2	1	65	13	69	16	3	34	5	6
Glyma.08G335900	105	19	76	20	1	22	17	1	202	43	128	18	9	94	31	9
Glyma.08G336000	29	5	16	3	0	6	8	0	48	8	44	5	4	23	9	0
Glyma.08G336400	93	15	87	8	1	23	15	0	174	32	128	30	2	68	40	4
Glyma.08G336800	209	4	93	5	0	17	5	2	358	19	132	11	2	69	11	11
Glyma.08G337200	49	5	51	3	3	11	4	1	91	17	94	10	4	36	15	3
Glyma.08G337400	47	6	49	2	3	7	2	0	99	12	86	9	0	34	6	3
Glyma.08G337500	194	34	184	15	4	68	18	1	388	78	313	42	12	170	36	9
Glyma.08G337600	33	4	27	5	0	6	0	1	74	15	51	7	2	17	4	3
